	TARA_112_DCM_0.8_5.0	TARA_097_DCM_0.8_5.0	TARA_096_DCM_0.8_5.0	TARA_151_DCM_0.8_5.0	TARA_142_DCM_0.8_5.0	TARA_006_DCM_0.8_5.0	TARA_066_DCM_0.8_5.0	TARA_051_DCM_0.8_5.0	TARA_132_DCM_0.8_5.0	TARA_086_DCM_0.8_5.0	TARA_034_DCM_0.8_5.0	TARA_058_DCM_0.8_5.0	TARA_080_DCM_0.8_5.0	TARA_102_DCM_0.8_5.0	TARA_128_DCM_0.8_5.0	TARA_032_DCM_0.8_5.0	TARA_106_DCM_0.8_5.0	TARA_025_DCM_0.8_5.0	TARA_122_DCM_0.8_5.0	TARA_111_DCM_0.8_5.0	TARA_110_DCM_0.8_5.0	TARA_109_DCM_0.8_5.0	TARA_138_DCM_0.8_5.0	TARA_004_DCM_0.8_5.0	TARA_135_DCM_0.8_5.0	TARA_009_DCM_0.8_5.0	TARA_016_DCM_0.8_5.0	TARA_042_DCM_0.8_5.0	TARA_072_DCM_0.8_5.0	TARA_093_DCM_0.8_5.0	TARA_081_DCM_0.8_5.0	TARA_137_DCM_0.8_5.0	TARA_038_DCM_0.8_5.0	TARA_068_DCM_0.8_5.0	TARA_143_DCM_0.8_5.0	TARA_078_DCM_0.8_5.0	TARA_065_DCM_0.8_5.0	TARA_041_DCM_0.8_5.0	TARA_064_DCM_0.8_5.0	TARA_005_DCM_0.8_5.0	TARA_036_DCM_0.8_5.0	TARA_023_DCM_0.8_5.0	TARA_149_MES_0.8_3.0	TARA_148_MES_0.8_3.0	TARA_138_MES_0.8_3.0	TARA_142_MES_0.8_3.0	TARA_137_MES_0.8_3.0	TARA_144_MES_0.8_3.0	TARA_097_MES_0.8_3.0	TARA_109_MES_0.8_3.0	TARA_110_MES_0.8_3.0	TARA_131_MES_0.8_3.0	TARA_112_MES_0.8_3.0	TARA_146_MES_0.8_3.0	TARA_098_MES_0.8_3.0	TARA_132_MES_0.8_3.0	TARA_078_MES_0.8_3.0	TARA_085_SRF_0.8_5.0	TARA_142_SRF_0.8_5.0	TARA_080_SRF_0.8_5.0	TARA_086_SRF_0.8_5.0	TARA_036_SRF_0.8_5.0	TARA_081_SRF_0.8_5.0	TARA_006_SRF_0.8_5.0	TARA_124_SRF_0.8_5.0	TARA_043_SRF_0.8_5.0	TARA_004_SRF_0.8_5.0	TARA_131_SRF_0.8_5.0	TARA_113_SRF_0.8_5.0	TARA_041_SRF_0.8_5.0	TARA_058_SRF_0.8_5.0	TARA_052_SRF_0.8_5.0	TARA_143_SRF_0.8_5.0	TARA_123_SRF_0.8_5.0	TARA_149_SRF_0.8_5.0	TARA_095_SRF_0.8_5.0	TARA_128_SRF_0.8_5.0	TARA_110_SRF_0.8_5.0	TARA_046_SRF_0.8_5.0	TARA_067_SRF_0.8_5.0	TARA_076_SRF_0.8_5.0	TARA_039_SRF_0.8_5.0	TARA_129_SRF_0.8_5.0	TARA_130_SRF_0.8_5.0	TARA_072_SRF_0.8_5.0	TARA_005_SRF_0.8_5.0	TARA_082_SRF_0.8_5.0	TARA_122_SRF_0.8_5.0	TARA_084_SRF_0.8_5.0	TARA_145_SRF_0.8_5.0	TARA_042_SRF_0.8_5.0	TARA_136_SRF_0.8_5.0	TARA_092_SRF_0.8_5.0	TARA_106_SRF_0.8_5.0	TARA_137_SRF_0.8_5.0	TARA_111_SRF_0.8_5.0	TARA_051_SRF_0.8_5.0	TARA_112_SRF_0.8_5.0	TARA_139_SRF_0.8_5.0	TARA_102_SRF_0.8_5.0	TARA_064_SRF_0.8_5.0	TARA_045_SRF_0.8_5.0	TARA_100_SRF_0.8_5.0	TARA_018_SRF_0.8_5.0	TARA_109_SRF_0.8_5.0	TARA_152_SRF_0.8_5.0	TARA_009_SRF_0.8_5.0	TARA_089_SRF_0.8_5.0	TARA_068_SRF_0.8_5.0	TARA_151_SRF_0.8_5.0	TARA_078_SRF_0.8_5.0	TARA_146_SRF_0.8_5.0	TARA_093_SRF_0.8_5.0	TARA_016_SRF_0.8_5.0	TARA_038_SRF_0.8_5.0	TARA_066_SRF_0.8_5.0	TARA_070_SRF_0.8_5.0	TARA_132_SRF_0.8_5.0	TARA_147_SRF_0.8_5.0	TARA_022_SRF_0.8_5.0	TARA_135_SRF_0.8_5.0	TARA_148_SRF_0.8_5.0	TARA_097_SRF_0.8_5.0	TARA_096_SRF_0.8_5.0	TARA_098_SRF_0.8_5.0	TARA_150_SRF_0.8_5.0	TARA_020_SRF_0.8_5.0	TARA_025_SRF_0.8_5.0
AACY020336309.1.1404	0	0	1	2	0	0	0	0	0	0	7	0	3	3	5	0	0	2	0	0	5	9	1	1	2	3	1	0	0	1	2	1	1	0	0	0	0	0	0	4	16	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	2	0	27	0	4	0	7	1	4	5	13	2	1	3	7	0	4	3	1	4	0	2	2	14	1	1	6	1	5	0	0	4	11	52	19	6	1	0	0	4	5	0	4	6	2	19	0	0	0	0	4	0	0	5	0	3	1	2	0	0	16	10	0	1	0	0	0	0	0
AACY020359284.2920.4399	4	2	7	17	1	5	2	0	3	0	0	1	16	3	0	1	0	26	0	6	3	0	1	3	14	13	14	0	1	13	23	6	0	12	3	9	1	0	1	38	0	26	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	3	8	0	0	14	1	0	0	13	3	0	1	1	1	0	0	6	1	0	0	0	0	0	0	0	0	1	31	0	0	0	12	3	1	1	2	1	1	0	2	0	1	3	1	0	16	1	7	6	2	12	11	14	3	12	6	0	8	17	1	5	41	18	2	1	2	1	10	15	18
AACY020371335.89.1595	0	0	1	1	6	0	1	3	0	0	6	1	4	1	2	5	0	2	2	2	3	1	0	1	0	0	4	6	1	0	1	1	14	4	10	6	5	8	5	4	2	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	4	2	0	39	0	0	2	7	2	0	5	2	1	0	14	0	3	0	2	1	0	0	4	15	4	0	15	0	0	0	0	2	1	4	2	3	4	4	0	6	2	1	10	3	0	3	1	0	2	0	3	3	3	0	0	3	10	2	2	0	3	4	3	10	3	0	3	0	1	4
AACY020393406.361.1862	0	0	0	0	3	0	0	0	0	0	3	1	1	4	2	2	1	2	0	3	8	5	0	0	0	0	2	0	1	5	0	0	4	2	2	0	5	0	1	17	6	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	2	1	0	6	1	1	4	1	1	1	5	1	1	2	3	2	3	5	2	6	2	0	2	5	0	1	0	5	0	2	0	0	0	0	0	11	3	2	2	10	3	2	5	4	11	43	14	1	33	0	6	0	4	0	16	32	3	0	2	3	0	3	0	0	18	12	35	0	17	27
AACY020398456.2130.3630	1	0	0	1	1	1	0	6	1	0	2	6	3	3	5	7	1	2	3	1	4	7	0	1	0	0	3	2	3	5	0	2	3	1	12	1	4	0	1	7	8	22	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	4	5	0	11	0	1	2	15	2	8	5	1	10	15	17	0	3	6	4	4	11	0	6	5	8	25	4	4	0	6	0	1	7	2	0	12	8	11	4	5	2	0	5	16	10	40	28	1	36	0	1	0	3	0	14	23	7	0	0	5	2	21	0	2	6	13	5	7	34	23
AACY020403290.735.2190	1	5	1	3	3	7	0	3	3	0	7	1	4	1	7	4	9	5	3	7	2	0	2	4	5	7	9	3	4	2	7	1	1	6	8	1	2	3	3	3	0	5	16	30	7	3	9	13	19	12	18	6	3	24	15	10	9	0	9	0	0	6	0	0	3	1	0	5	0	2	3	1	6	0	4	0	3	0	2	0	0	3	7	6	2	2	2	0	0	0	3	2	0	3	0	3	2	6	0	4	2	7	3	1	1	1	1	2	4	1	2	2	2	1	2	0	4	9	5	3	2	5	0	0	2	4	0	6
AACY020414384.245.1582	0	0	0	0	1	3	2	0	0	0	0	0	1	5	1	0	0	3	0	5	1	5	0	6	3	5	4	0	0	1	0	6	0	1	0	0	2	1	6	0	5	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AACY020434814.152.1410	3	1	1	0	1	2	0	0	1	0	7	1	3	0	1	12	6	0	1	0	3	0	0	1	0	1	3	1	3	0	0	2	0	0	2	0	1	1	0	0	0	1	0	10	0	1	3	4	7	2	2	0	0	0	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AACY020443294.193.1674	5	5	9	6	14	0	1	6	4	0	7	12	3	3	0	13	3	11	4	10	3	0	3	0	7	8	15	11	4	4	0	2	6	0	17	4	10	0	8	17	1	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	12	1	0	1	0	1	0	2	10	4	0	0	2	0	12	1	2	0	0	0	0	0	12	4	1	0	16	8	0	0	0	2	3	0	0	2	0	1	5	20	0	0	14	0	0	8	0	5	3	0	3	3	7	5	2	6	5	1	11	6	11	4	29	5	4	0	2	3	24	3
AACY020458202.2977.4452	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	0	5	0	5	8	1	1	0	3	1	0	1	0	1	0	0	1	1	1	2	1	0	0	2	3	0	1	2	2	1	1	0	0	2	10	1	3	0	0	0	1	0	0	1	0	4	1	2	4	6	0	3	5	0	2	4	1	0	1	2	0	2	1	1	4	5	5	0	3	1
