	TARA_100_DCM_0.22_3.0	TARA_102_DCM_0.22_3.0	TARA_109_DCM_0.22_3.0	TARA_110_DCM_0.22_3.0	TARA_111_DCM_0.22_3.0	TARA_112_DCM_0.22_3.0	TARA_122_DCM_0.22_3.0	TARA_128_DCM_0.22_3.0	TARA_132_DCM_0.22_3.0	TARA_133_DCM_0.22_3.0	TARA_137_DCM_0.22_3.0	TARA_138_DCM_0.22_3.0	TARA_142_DCM_0.22_3.0	TARA_150_DCM_0.22_3.0	TARA_151_DCM_0.22_3.0	TARA_058_DCM_0.22_3.0	TARA_064_DCM_0.22_3.0	TARA_065_DCM_0.22_3.0	TARA_066_DCM_0.22_3.0	TARA_068_DCM_0.22_3.0	TARA_072_DCM_0.22_3.0	TARA_076_DCM_0.22_3.0	TARA_078_DCM_0.22_3.0	TARA_082_DCM_0.22_3.0	TARA_085_DCM_0.22_3.0	TARA_093_DCM_0.22_3.0	TARA_098_DCM_0.22_3.0	TARA_100_MES_0.22_3.0	TARA_102_MES_0.22_3.0	TARA_109_MES_0.22_3.0	TARA_110_MES_0.22_3.0	TARA_111_MES_0.22_3.0	TARA_112_MES_0.22_3.0	TARA_122_MES_0.22_3.0	TARA_132_MES_0.22_3.0	TARA_133_MES_0.22_3.0	TARA_137_MES_0.22_3.0	TARA_138_MES_0.22_3.0	TARA_142_MES_0.22_3.0	TARA_145_MES_0.22_3.0	TARA_146_MES_0.22_3.0	TARA_148_MES_0.22_3.0	TARA_149_MES_0.22_3.0	TARA_152_MES_0.22_3.0	TARA_056_MES_0.22_3.0	TARA_064_MES_0.22_3.0	TARA_065_MES_0.22_3.0	TARA_068_MES_0.22_3.0	TARA_070_MES_0.22_3.0	TARA_072_MES_0.22_3.0	TARA_076_MES_0.22_3.0	TARA_078_MES_0.22_3.0	TARA_085_MES_0.22_3.0	TARA_098_MES_0.22_3.0	TARA_100_SRF_0.22_3.0	TARA_102_SRF_0.22_3.0	TARA_109_SRF_0.22_3.0	TARA_110_SRF_0.22_3.0	TARA_111_SRF_0.22_3.0	TARA_112_SRF_0.22_3.0	TARA_122_SRF_0.22_3.0	TARA_123_SRF_0.22_3.0	TARA_124_SRF_0.22_3.0	TARA_125_SRF_0.22_3.0	TARA_128_SRF_0.22_3.0	TARA_132_SRF_0.22_3.0	TARA_133_SRF_0.22_3.0	TARA_137_SRF_0.22_3.0	TARA_138_SRF_0.22_3.0	TARA_140_SRF_0.22_3.0	TARA_141_SRF_0.22_3.0	TARA_142_SRF_0.22_3.0	TARA_145_SRF_0.22_3.0	TARA_146_SRF_0.22_3.0	TARA_148_SRF_0.22_3.0	TARA_149_SRF_0.22_3.0	TARA_150_SRF_0.22_3.0	TARA_151_SRF_0.22_3.0	TARA_152_SRF_0.22_3.0	TARA_056_SRF_0.22_3.0	TARA_057_SRF_0.22_3.0	TARA_062_SRF_0.22_3.0	TARA_064_SRF_0.22_3.0	TARA_065_SRF_0.22_3.0	TARA_066_SRF_0.22_3.0	TARA_067_SRF_0.22_3.0	TARA_068_SRF_0.22_3.0	TARA_070_SRF_0.22_3.0	TARA_072_SRF_0.22_3.0	TARA_076_SRF_0.22_3.0	TARA_078_SRF_0.22_3.0	TARA_082_SRF_0.22_3.0	TARA_084_SRF_0.22_3.0	TARA_085_SRF_0.22_3.0	TARA_093_SRF_0.22_3.0	TARA_094_SRF_0.22_3.0	TARA_096_SRF_0.22_3.0	TARA_098_SRF_0.22_3.0	TARA_099_SRF_0.22_3.0
AACY020068177.376.1853	11	9	8	8	29	33	13	4	14	8	0	9	17	2	7	18	17	13	6	4	14	23	8	0	0	0	29	0	0	1	5	2	1	7	0	3	0	1	1	0	1	0	2	2	4	1	0	1	0	9	1	1	0	0	0	8	9	5	18	60	24	10	44	18	6	7	0	11	12	6	7	12	6	3	9	6	5	3	4	33	10	19	23	13	11	0	6	19	17	5	0	0	0	0	0	0	0	0	2
AACY020075636.150.1670	21	14	31	27	22	1	9	27	17	11	0	17	3	20	21	1	6	18	32	7	10	1	14	0	0	11	0	5	1	1	10	0	0	6	1	1	0	1	1	0	0	3	1	0	2	1	0	2	0	1	1	0	0	0	42	45	21	27	40	0	30	12	26	31	23	0	0	18	3	6	4	2	19	25	19	46	24	3	17	0	2	2	8	12	27	0	10	28	1	0	2	0	0	0	8	16	0	0	0
AACY020080403.492.1950	0	0	0	2	3	1	0	1	2	1	0	1	2	2	1	1	2	2	4	12	0	2	2	9	2	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	2	3	2	2	1	8	1	0	3	11	3	2	3	0	1	0	8	2	6	5	4	2	2	1	0	0	1	3	0	15	15	11	17	52	26	11	14	13	0	0	5	5	13
AACY020095396.2822.4287	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	0	1	2	2	15	9	4	4	4	2	20	4	2	8	4	8	12	3	4	2	2	2	1	0	12	3	8	6	5	0	0	1	3	6	10	3	0	0	0	2	2	5	7	13
AACY020125842.54.1493	23	31	21	27	14	5	63	54	319	37	0	43	23	22	28	14	38	35	48	56	51	40	44	0	0	0	21	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	8	3	17	51	36	23	3	26	39	39	25	3	5	5	8	0	11	60	33	72	81	30	16	89	19	12	14	38	67	52	0	46	100	54	66	9	0	0	0	0	0	11	49	37
AACY020147130.655.2082	5	17	0	31	4	5	3	10	1	8	0	23	5	4	7	7	11	2	0	0	2	5	5	0	0	0	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	2	3	4	2	1	1	0	0	4	0	0	1	4	1	0	11	3	0	3	0	0	2	0	8	15	19	5	7	0	0	1	9	1	0	0	0	0	0	0	0	0	0	0
AACY020159143.753.2263	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	12	11	7	2	1	3	3	1	2	3	3	4	6	9	14	10	2	0	0	2	0	2	0	0	3	3	2	1	0	1	0	0	2	3	0	0	0	0	0	0	4	0	0	0
AACY020207233.1273.2814	4	12	17	21	13	16	7	20	14	10	0	25	24	10	9	16	13	11	4	2	26	40	6	0	0	0	20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12	77	9	12	32	13	37	29	19	20	19	32	6	20	18	13	8	33	2	6	24	5	11	11	1	17	4	19	15	13	2	0	0	8	39	17	10	0	0	0	0	0	12	22	21
AACY020255495.903.2404	17	3	14	11	22	13	8	31	7	2	0	6	4	12	4	10	5	11	5	6	19	3	1	0	0	0	11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23	3	12	11	11	6	31	26	14	21	33	7	0	9	6	35	38	9	4	11	6	7	9	1	1	7	6	10	16	21	0	0	3	5	9	1	1	0	0	0	0	9	2	1	5
AACY020276549.377.1886	14	5	0	19	18	13	21	6	24	0	1	36	14	17	17	4	8	15	4	5	29	2	8	0	0	0	23	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AACY020281370.39.1481	11	11	0	13	5	0	0	0	18	3	0	11	0	15	13	2	2	10	36	14	2	4	8	0	0	0	0	0	2	1	5	1	1	3	2	1	0	0	2	0	3	0	3	2	2	0	1	0	0	0	1	0	0	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AACY020283857.132.1585	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	6	2	3	5	3	4	10	4	4	6	7	8	14	3	13	12	8	10	14	7	4	1	9	8	3	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AACY020302266.213.1678	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	2	1	1	0	1	1	1	0	0	0	0	0	0	3	2	1	3	3	2	4	1	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AACY020324837.147.1652	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	18	12	8	0	2	3	12	1	1	5	15	1	3	6	25	23	1	0	0	1	0	0	5	0	2	3	5	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	1	3
AACY020329935.165.1672	8	2	5	5	4	0	0	1	8	7	0	1	0	7	6	1	1	0	5	0	1	1	1	9	2	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	28	16	5	4	14	8	4	0	2	0	5	1	23	9	4	1	0	1	4	0	0	0	6	5	6	4	1	1	0	0	8	2	1	0	6	3	1	7	8	1	2	39	12	2	9
AACY020371335.89.1595	1	1	0	2	1	4	0	3	2	2	0	4	24	7	5	36	36	25	14	7	12	13	19	0	0	2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	2	0	1	0	0	0	0	2	0	1	0	0	7	6	20	7	25	38	23	3	8	4	32	20	28	60	48	12	2	2	1	25	22	11	0	0	0	0	1	0	1	0
AACY020396101.1882.3388	98	79	0	24	121	86	102	0	143	0	2	264	75	61	20	27	70	39	19	34	179	37	36	0	0	0	159	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	3	1	13	0	0	1	0	1	0	0	0	0	0	1	91	5	69	86	74	50	21	17	4	7	13	41	59	22	0	22	4	2	2	16	0	0	0	0	1	0	0	1
AACY020398456.2130.3630	3	0	12	2	3	4	2	14	1	0	0	0	16	5	2	27	13	9	0	0	9	5	1	0	0	0	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	1	22	2	2	17	5	1	11	6	6	27	0	2	6	15	18	10	1	3	6	2	5	2	0	10	14	22	12	8	0	0	2	2	15	20	5	0	0	0	0	0	34	31	31
AACY020403290.735.2190	4	0	0	2	12	5	8	0	8	0	8	29	5	1	4	2	4	1	1	5	11	0	3	0	0	0	5	18	6	8	10	13	5	5	10	6	7	4	10	4	17	18	14	12	6	5	7	8	2	3	3	6	1	5	1	1	1	1	1	0	0	0	1	1	2	0	0	0	0	0	2	5	6	5	10	3	4	1	1	3	0	3	0	3	2	0	4	5	2	1	3	0	0	0	0	0	0	0	0
AACY020428427.340.1780	3	1	0	18	2	0	5	2	38	7	0	17	2	12	17	1	3	4	8	6	2	0	1	1	0	0	1	0	0	2	1	2	1	5	6	1	0	0	7	2	3	5	2	1	0	1	1	1	2	3	2	2	2	2	0	1	0	6	3	2	0	1	1	1	2	5	0	0	0	0	0	1	29	2	5	9	7	18	12	3	0	0	4	6	9	0	3	9	0	0	0	0	0	0	0	0	1	1	1
AACY020430088.197.1720	6	0	0	4	3	1	11	0	63	1	6	20	1	2	9	0	1	2	2	6	19	1	2	0	0	0	4	27	11	17	6	32	1	1	4	3	2	1	5	11	3	21	3	2	0	7	3	5	2	0	1	1	3	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AACY020431964.3244.4753	12	15	25	14	6	5	9	23	2	4	0	9	21	7	5	16	7	24	5	5	6	4	5	1	0	12	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	29	35	18	25	22	6	14	7	15	24	12	16	0	14	6	14	44	5	9	8	5	4	9	5	5	7	11	12	7	11	9	6	5	1	7	14	6	0	0	0	5	10	11	5	14
AACY020443294.193.1674	4	1	0	1	2	1	1	0	0	2	1	3	4	1	3	3	3	3	2	1	6	3	5	0	0	1	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	1	0	1	0	3	0	1	0	1	3	0	0	0	3	5	2	0	2	0	1	2	3	1	2	4	5	4	0	1	1	10	1	5	4	0	0	0	1	0	0	1	0
AACY020458788.943.2444	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	1	0	1	0	1	1	0	3	0	2	2	0	0	1	1	7	0	0	1	1	0	3	0	0	0	0	0	3	28	2	0	0	0	0	28	51	21	8	0	0	0	1
AACY020481938.3418.4929	5	53	48	19	5	7	0	25	0	0	0	0	4	12	7	34	6	9	3	4	4	1	2	0	0	0	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17	101	57	28	28	49	48	8	17	44	19	60	3	48	39	55	29	5	0	1	6	2	10	15	0	23	25	43	5	8	2	0	0	4	24	20	8	0	0	0	0	63	115	48	65
AACY020487638.121.1594	12	67	115	43	8	1	8	34	2	19	0	3	4	8	6	29	5	16	16	0	1	0	17	0	0	32	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	67	93	119	70	42	13	16	17	18	21	21	21	60	82	16	82	35	2	12	4	8	5	9	9	11	19	24	30	8	17	28	1	2	4	4	5	27	0	0	1	41	58	57	55	47
AACY020490277.719.2228	5	11	24	12	7	7	1	17	5	1	0	3	6	9	10	24	6	12	1	1	1	0	3	0	0	1	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	36	47	53	26	28	5	22	12	14	32	15	4	4	10	14	20	24	0	1	3	4	1	4	18	2	11	6	17	9	9	3	0	0	7	3	2	1	0	0	0	1	14	11	8	13
AACY020518560.687.2227	9	5	0	5	11	3	1	0	25	21	0	10	0	3	22	0	2	1	14	4	4	8	7	0	0	1	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	1	2	2	2	1	0	1	0	0	5	2	1	0	0	1	11	1	3	4	8	16	17	1	1	2	2	4	13	1	5	4	1	2	5	0	0	0	0	0	0	0	1
AACY020545456.443.1983	9	4	14	32	11	1	0	18	17	20	0	7	2	15	39	10	8	20	31	1	5	4	8	1	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	24	7	15	7	6	11	13	5	9	17	2	0	21	11	20	2	7	26	9	5	19	20	39	9	17	8	10	14	10	36	8	2	7	6	3	1	0	0	0	0	10	3	4	6
AACY020549891.3846.5359	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	3	1	1	160	0	0	0	1	0	153	26	1	24	1	5	0	0	0	6	0	1	4	1	7	0	2	0	0	2	0	0	0	19	64	4	0	0	0	8	22	596	561	251
AACY020551516.3485.4953	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	0	0	3	2	0	1	0	0	0	72	1	0	0	0	0	12	0	2	0	2	1	3	1	0	0	0	0	9	3	1	0	0	0	0	31	15	71	19	26	12	1	6
AACY020552977.734.2233	2	7	8	39	8	3	0	23	7	0	0	6	19	2	5	4	8	14	4	4	2	6	6	0	0	1	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15	4	11	27	2	5	9	70	13	15	31	4	1	18	1	21	26	17	2	20	8	21	4	7	0	6	29	18	12	7	12	0	4	2	6	3	3	0	0	0	0	4	3	0	4
AACY020553637.768.2309	0	10	19	20	9	2	2	10	3	0	0	5	11	2	3	12	5	5	0	0	5	1	3	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	12	20	13	9	5	28	3	6	23	14	15	0	14	9	23	2	3	0	0	2	2	3	3	1	13	6	15	15	5	1	0	0	1	10	6	3	0	0	0	0	0	2	8	4
AACY020555729.127.1634	26	20	53	54	15	4	5	40	6	14	1	3	45	35	18	12	14	14	13	29	7	4	13	0	0	5	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	82	38	70	60	28	9	30	11	21	19	42	23	11	47	30	6	9	20	6	18	34	30	35	26	58	14	13	20	18	17	19	0	33	22	14	9	11	0	0	0	3	13	25	21	27
AACY020555764.489.1966	9	33	29	13	12	5	3	11	1	2	0	3	12	17	25	8	11	14	34	15	8	5	13	1	2	4	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	28	33	16	17	33	8	22	30	30	20	15	11	0	31	14	5	3	11	12	14	9	10	18	19	15	11	2	5	13	12	29	4	9	22	8	3	5	1	0	0	12	11	0	0	5
AACY020555882.2572.4023	8	2	38	66	7	1	0	48	7	6	0	13	11	9	15	4	5	2	3	0	1	0	3	8	0	0	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18	38	54	42	18	21	31	42	8	47	63	12	2	54	40	4	1	5	2	8	9	3	5	33	2	5	12	15	5	2	9	6	0	37	15	1	1	7	0	0	0	1	2	8	33
AACY020556376.977.2486	2	9	13	2	2	4	0	3	4	17	0	0	2	12	11	5	0	1	4	0	0	1	4	0	0	12	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	31	18	11	12	30	8	5	0	0	0	2	4	22	10	6	13	7	1	0	0	3	2	8	18	3	5	6	3	0	2	4	3	0	1	1	0	1	0	0	0	7	25	3	1	4
AACY020562322.3851.5364	17	20	62	36	15	16	1	46	0	5	0	2	2	6	16	59	11	12	1	0	4	9	15	0	0	0	18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	44	41	57	61	45	15	56	11	16	41	38	64	16	89	89	161	23	0	1	0	3	3	8	61	1	74	38	46	13	10	5	0	0	13	75	36	35	0	0	0	4	34	23	12	31
AACY020563509.792.2305	17	16	25	26	9	4	5	29	2	1	0	0	1	8	2	1	8	1	4	8	4	4	2	0	0	0	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	49	39	30	43	21	14	31	21	34	23	35	8	16	20	5	3	3	3	2	4	10	11	12	3	9	0	2	2	7	0	3	0	4	13	6	9	17	0	0	0	0	22	25	14	22
AACY020564058.27.1569	29	0	0	1	73	50	40	0	25	0	10	19	1	2	14	0	2	5	3	22	43	17	15	0	0	0	59	57	13	16	7	14	1	9	11	3	6	5	7	6	8	35	7	1	1	4	3	6	0	1	1	4	2	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AACY020564593.3718.5259	94	56	38	41	64	42	21	50	32	2	1	10	13	25	18	23	28	17	40	29	27	23	52	0	0	4	21	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	104	44	32	35	93	43	107	27	108	84	88	25	11	100	37	13	14	11	10	16	19	48	43	21	35	28	25	23	33	25	34	24	24	65	14	9	18	0	0	0	3	143	26	41	48
AACY020565564.130.1652	28	6	0	8	56	34	79	3	94	31	35	34	91	21	54	5	42	92	93	45	73	25	52	0	0	3	69	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	0	1	0	2	1	0	2	10	3	0	0	1	0	5	20	98	105	159	110	113	31	13	47	1	17	5	50	93	65	3	35	6	1	2	9	0	0	0	0	0	0	0	0
AACY023403887.141.1584	3	11	10	5	8	6	6	4	5	2	0	13	10	6	5	14	2	4	1	3	11	2	10	0	0	0	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	1	6	0	1	4	3	7	6	5	4	1	2	2	7	3	11	8	1	7	10	2	4	6	7	3	6	8	2	1	0	0	6	1	9	1	16	0	0	0	0	2	0	1	4
AACY023524552.82.1556	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9	4	6	2	4	4	6	1	2	0	4	2	2	3	4	4	5	0	0	0	0	0	0	0	0	12	3	5	0	0	1	0	0	0	3	4	0	0	0	0	2	4	4	1	9
AACY023936572.36.1480	3	1	4	2	0	2	1	2	0	1	0	0	6	2	1	9	2	4	1	0	3	1	2	0	0	0	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	1	14	1	1	5	3	2	1	3	2	3	0	2	6	0	9	9	1	1	5	1	1	1	2	4	3	3	2	1	1	0	2	2	6	8	3	0	0	0	0	0	1	3	2
AACY023938218.20.1535	5	9	5	9	26	43	34	8	15	6	0	3	33	17	16	15	37	48	20	7	63	63	46	0	0	0	40	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	2	5	3	8	4	50	43	12	8	0	0	3	3	10	27	22	14	37	40	24	8	3	5	9	18	17	24	55	15	1	6	25	17	3	2	1	0	0	0	0	0	0	0
AACY023938893.20.1523	3	1	3	2	0	1	0	7	0	0	0	3	3	5	0	4	7	2	0	0	0	0	1	0	0	2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	12	4	3	6	0	9	18	6	3	15	1	0	3	7	3	11	2	0	0	2	3	1	2	0	7	6	6	0	1	1	0	0	0	2	0	2	0	0	0	0	0	1	1	4
AACY023939069.20.1514	1	0	0	0	18	36	4	0	21	0	4	5	0	5	11	0	1	6	1	5	0	5	14	0	0	0	22	1	1	14	5	16	0	7	4	1	3	1	13	0	35	52	22	15	0	10	11	2	0	5	0	0	0	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AACY024102418.157.1623	76	39	179	94	82	90	107	139	56	13	24	48	98	62	67	103	107	101	62	38	61	54	84	1	0	29	87	20	10	17	35	17	14	36	12	9	17	22	16	14	9	26	17	9	22	7	9	10	5	33	7	5	4	14	180	131	185	114	242	132	163	78	199	116	108	165	16	152	95	44	83	81	32	92	78	62	71	35	60	108	65	74	105	115	59	4	26	63	70	55	63	1	0	2	21	204	219	222	173
AALZ01000006.1.1853	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	1	0	0	0	2	0	0	0	1	1	3	6	5	0	4	2	0	0	0	1	6	1	2	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
