	TARA_100_DCM_0.22_3.0	TARA_102_DCM_0.22_3.0	TARA_109_DCM_0.22_3.0	TARA_110_DCM_0.22_3.0	TARA_111_DCM_0.22_3.0	TARA_112_DCM_0.22_3.0	TARA_122_DCM_0.22_3.0	TARA_128_DCM_0.22_3.0	TARA_132_DCM_0.22_3.0	TARA_133_DCM_0.22_3.0	TARA_137_DCM_0.22_3.0	TARA_138_DCM_0.22_3.0	TARA_142_DCM_0.22_3.0	TARA_150_DCM_0.22_3.0	TARA_151_DCM_0.22_3.0	TARA_058_DCM_0.22_3.0	TARA_064_DCM_0.22_3.0	TARA_065_DCM_0.22_3.0	TARA_066_DCM_0.22_3.0	TARA_068_DCM_0.22_3.0	TARA_072_DCM_0.22_3.0	TARA_076_DCM_0.22_3.0	TARA_078_DCM_0.22_3.0	TARA_082_DCM_0.22_3.0	TARA_085_DCM_0.22_3.0	TARA_093_DCM_0.22_3.0	TARA_098_DCM_0.22_3.0	TARA_100_MES_0.22_3.0	TARA_102_MES_0.22_3.0	TARA_109_MES_0.22_3.0	TARA_110_MES_0.22_3.0	TARA_111_MES_0.22_3.0	TARA_112_MES_0.22_3.0	TARA_122_MES_0.22_3.0	TARA_132_MES_0.22_3.0	TARA_133_MES_0.22_3.0	TARA_137_MES_0.22_3.0	TARA_138_MES_0.22_3.0	TARA_142_MES_0.22_3.0	TARA_145_MES_0.22_3.0	TARA_146_MES_0.22_3.0	TARA_148_MES_0.22_3.0	TARA_149_MES_0.22_3.0	TARA_152_MES_0.22_3.0	TARA_056_MES_0.22_3.0	TARA_064_MES_0.22_3.0	TARA_065_MES_0.22_3.0	TARA_068_MES_0.22_3.0	TARA_070_MES_0.22_3.0	TARA_072_MES_0.22_3.0	TARA_076_MES_0.22_3.0	TARA_078_MES_0.22_3.0	TARA_085_MES_0.22_3.0	TARA_098_MES_0.22_3.0	TARA_100_SRF_0.22_3.0	TARA_102_SRF_0.22_3.0	TARA_109_SRF_0.22_3.0	TARA_110_SRF_0.22_3.0	TARA_111_SRF_0.22_3.0	TARA_112_SRF_0.22_3.0	TARA_122_SRF_0.22_3.0	TARA_123_SRF_0.22_3.0	TARA_124_SRF_0.22_3.0	TARA_125_SRF_0.22_3.0	TARA_128_SRF_0.22_3.0	TARA_132_SRF_0.22_3.0	TARA_133_SRF_0.22_3.0	TARA_137_SRF_0.22_3.0	TARA_138_SRF_0.22_3.0	TARA_140_SRF_0.22_3.0	TARA_141_SRF_0.22_3.0	TARA_142_SRF_0.22_3.0	TARA_145_SRF_0.22_3.0	TARA_146_SRF_0.22_3.0	TARA_148_SRF_0.22_3.0	TARA_149_SRF_0.22_3.0	TARA_150_SRF_0.22_3.0	TARA_151_SRF_0.22_3.0	TARA_152_SRF_0.22_3.0	TARA_056_SRF_0.22_3.0	TARA_057_SRF_0.22_3.0	TARA_062_SRF_0.22_3.0	TARA_064_SRF_0.22_3.0	TARA_065_SRF_0.22_3.0	TARA_066_SRF_0.22_3.0	TARA_067_SRF_0.22_3.0	TARA_068_SRF_0.22_3.0	TARA_070_SRF_0.22_3.0	TARA_072_SRF_0.22_3.0	TARA_076_SRF_0.22_3.0	TARA_078_SRF_0.22_3.0	TARA_082_SRF_0.22_3.0	TARA_084_SRF_0.22_3.0	TARA_085_SRF_0.22_3.0	TARA_093_SRF_0.22_3.0	TARA_094_SRF_0.22_3.0	TARA_096_SRF_0.22_3.0	TARA_098_SRF_0.22_3.0	TARA_099_SRF_0.22_3.0
EF572471.1.1459	11	16	21	23	10	9	7	41	5	20	0	3	15	13	23	20	15	24	11	4	8	9	27	0	0	38	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	78	34	31	31	49	32	40	21	46	24	45	69	77	34	59	11	31	14	10	10	13	4	26	31	31	39	24	38	30	24	10	3	4	9	36	30	42	0	0	0	52	110	171	133	119
EF572504.1.1492	11	3	22	17	24	11	5	28	2	10	0	5	2	5	3	4	1	0	3	4	9	1	5	0	0	2	26	8	3	1	6	6	1	1	0	0	2	3	0	0	0	0	1	0	1	0	1	0	0	5	1	0	0	0	1	6	19	21	12	23	7	4	13	9	15	2	2	27	30	2	3	2	0	5	3	2	3	3	4	16	2	7	6	2	2	1	2	21	11	1	5	0	0	0	0	1	3	8	33
EF572512.1.1486	3	4	2	11	1	3	4	8	13	5	0	8	12	8	1	12	5	9	2	3	8	1	1	2	4	4	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	8	8	14	4	7	7	14	2	2	16	11	1	9	2	11	13	4	2	7	10	10	4	2	4	4	7	9	7	8	7	1	3	4	15	8	6	1	3	0	0	2	5	3	5
EF572525.1.1450	3	2	4	3	0	1	0	2	0	1	0	0	4	5	1	2	3	1	3	1	3	2	5	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	3	2	4	5	4	0	5	2	7	5	1	1	2	1	0	2	0	2	0	0	3	4	3	4	4	7	3	1	2	0	0	2	1	3	3	3	0	0	0	0	4	9	12	7
EF572586.1.1452	9	23	26	17	10	2	5	12	1	6	0	8	5	15	21	9	7	10	27	5	3	1	6	0	1	4	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15	22	18	17	26	4	15	20	13	26	14	10	11	23	8	10	8	5	14	6	8	10	16	14	12	5	11	10	10	9	12	3	5	10	6	2	10	2	1	1	16	15	4	1	10
EF572587.1.1496	13	26	31	15	12	5	4	41	4	14	0	3	9	5	3	4	9	5	10	12	14	3	4	0	0	22	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	47	23	30	27	18	10	43	19	33	17	42	11	9	14	22	4	6	10	0	4	11	5	15	7	4	9	11	9	6	6	6	1	10	11	16	17	22	0	0	0	10	7	8	22	29
EF572648.1.1451	16	3	10	11	12	12	3	10	6	0	0	5	10	13	15	15	14	12	15	7	11	3	5	0	0	1	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11	6	7	9	21	18	14	7	15	25	8	22	13	14	16	9	7	6	1	6	4	6	22	12	20	15	6	32	10	8	8	0	2	6	14	14	14	0	0	0	3	15	22	27	15
EF572668.1.1448	13	6	9	13	13	9	8	13	4	1	0	6	12	23	9	11	5	15	10	4	9	5	10	0	0	0	17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15	9	9	6	7	10	12	7	8	15	14	10	3	11	18	6	8	14	6	7	11	7	9	19	8	11	2	8	14	17	10	0	7	18	16	10	18	0	0	0	1	5	4	5	11
EF572678.1.1439	9	4	16	8	14	4	4	19	3	8	0	3	1	11	7	4	4	3	2	3	2	1	3	0	0	1	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	3	10	13	13	14	6	6	5	8	15	0	2	16	14	1	1	3	2	5	2	6	10	10	5	3	2	2	3	1	4	1	2	10	4	1	3	0	0	0	0	7	5	0	16
EF572685.1.1500	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	2	2	1	5	3	2	5	2	0	0	5	5	2	2	1	10	3	0	0	0	0	1	0	0	3	2	2	0	1	0	2	0	1	3	4	2	0	0	0	0	1	1	4	3
EF572710.1.1498	13	31	79	35	15	10	0	32	1	11	0	0	0	2	16	41	5	2	0	0	8	4	12	0	0	1	19	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	27	54	60	70	39	16	28	6	10	30	35	61	17	88	66	143	34	0	0	1	1	1	1	69	0	44	38	40	11	8	2	0	0	11	64	30	35	0	0	0	2	30	25	19	35
EF572745.1.1469	2	2	9	5	3	9	6	17	1	1	0	1	10	2	6	8	4	9	2	3	2	2	9	0	0	0	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19	8	9	6	24	24	29	27	15	25	13	29	0	11	21	2	11	2	4	7	11	4	2	4	1	17	13	5	4	10	1	0	6	18	11	11	7	0	0	0	1	4	7	12	27
EF572748.1.1452	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	5	0	1	1	2	2	1	2	2	1	2	0	1	3	2	8	1	1	0	1	0	0	0	0	1	5	4	1	2	0	0	0	2	4	10	5	0	0	0	0	2	4	3	4
EF572756.1.1449	18	0	1	5	20	13	9	3	16	1	1	15	10	5	9	3	6	8	3	2	7	7	4	1	0	0	22	7	1	0	3	2	2	0	1	3	1	1	2	2	1	7	2	1	2	1	1	3	0	6	0	2	1	0	0	1	2	4	7	8	6	7	4	12	4	1	1	2	5	2	3	24	5	10	14	8	5	7	3	4	4	9	6	5	4	0	5	4	4	6	4	0	0	0	0	2	2	1	4
EF572784.1.1439	6	13	4	10	2	2	4	9	0	0	0	3	5	9	7	7	14	8	8	4	5	3	9	0	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	6	7	9	10	2	5	5	15	24	8	5	3	18	3	10	13	10	5	8	5	6	4	4	3	7	9	6	10	17	8	1	4	5	11	0	2	0	0	0	1	5	6	2	5
