Run	Moisture	SoilC	N	C	pH
ERR1873259	31.48870087	5.49700022	0.764384581	13.51906563	3.83
ERR1873260	44.7159996	2.68199992	0.370460754	8.654387671	7.08
ERR2602451	38.54079819	2.73600006	0.573059358	12.52381626	7.06
ERR1873261	146.282196	4.03299999	0.501753952	12.98002739	2.67
ERR1873262	148.8403015	5.97800016	0.501656545	9.116402597	3.16
ERR2602452	148.8403015	5.97800016	0.81662753	15.25658244	2.92
ERR1873263	91.63130188	7.66300011	0.479808856	7.818328016	4.97
ERR1873264	92.77980042	7.61499977	0.657487335	12.38879385	3.69
ERR1873265	25.77230072	3.44000006	0.317322631	4.574790426	4.15
ERR1873266	101.5995026	6.3579998	0.258051942	3.554100875	3.52
ERR2602453	101.5995026	6.3579998	0.258051942	3.554100875	3.52
ERR2602454	101.5995026	6.3579998	0.212701704	2.729292005	3.37
ERR1873267	102.6080017	5.23500013	0.082933879	1.034035705	6.19
ERR1873268	80.09729767	5.26499987	1.176534496	31.03278101	3.5
ERR2602455	147.4712067	9.52999973	0.312510397	6.70926039	5.46
ERR2602456	129.5467987	11.4829998	0.551151372	9.59643074	5.2
ERR1873269	129.5467987	11.4829998	0.54484119	8.879934283	4.92
ERR2602457	147.4712067	9.52999973	0.296025051	7.13592088	4.16
ERR1873270	60.04000092	5.27299976	0.316712085	7.051106937	4.92
ERR1873271	62.93030167	11.97000027	0.45271385	8.475494732	4.21
ERR1873272	62.93030167	11.97000027	0.608243346	12.74437729	4.4
ERR1873273	116.3358002	11.12100029	0.956849064	18.27257679	4.88
ERR1873274	77.60030365	5.11199999	0.165234883	2.609851063	3.39
ERR1873275	146.7281952	6.45699978	0.216347637	3.035800455	3.87
ERR2602458	146.7281952	6.45699978	0.330262466	5.062422165	3.81
ERR1873276	139.2042999	3.52399993	0.404958365	5.439859127	5.85
ERR1873277	121.8467026	3.69400001	0.168197605	4.691737578	3.93
ERR1873278	121.8467026	3.69400001	0.277491429	5.688779457	4.37
ERR1873279	73.81700134	4.53599977	0.543931085	8.883421756	5.76
ERR1873280	73.81700134	4.53599977	0.31880341	3.856637283	5.36
ERR2602459	129.9664002	7.52099991	0.791379061	20	2.93
ERR1873282	81.44499969	7.28999996	0.545784132	10.61347157	3.32
ERR2602460	85.04779816	6.59100008	0.764509724	14.69292103	4.25
ERR1873283	81.55130005	6.59100008	1.059240256	17.1368877	6.36
ERR1873284	79.80180359	6.59100008	0.401646378	5.906693462	5.34
ERR1873285	81.55130005	6.59100008	0.735302438	11.5877234	5.57
ERR1873286	60.53079987	5.28800011	0.63081746	9.868801427	4.77
ERR1873287	68.01319885	5.15500021	0.234441641	4.163749644	4.26
ERR1873288	86.97250366	4.9460001	1.326596708	22.57962497	6.58
ERR1873289	86.97250366	4.9460001	0.673220626	21.57637075	4.31
ERR2602461	80.79640198	4.10599995	0.874868119	13.38639514	5.61
ERR1873290	149.8764954	7.58900023	1.102734995	19.84830927	3.33
ERR1873291	149.8764954	8.43700027	0.411460335	5.411912332	5.08
ERR1873292	149.8764954	7.58900023	0.483160903	6.753100439	4.15
ERR1873293	85.98000336	6.14099979	0.23232315	7.765118777	4.61
ERR1873294	48.46450043	4.43499994	0.311510706	3.564753743	5.84
ERR1873295	135.0670929	8.3210001	0.392779749	10.1298381	3.57
ERR1877972	135.0670929	8.3210001	1.08314143	42.36462706	3.65
ERR1873296	17.50399971	6.84200001	0.649765854	10.63799085	4.39
ERR1873297	45.00880051	6.56400013	0.276467541	5.121736628	4.68
ERR1873298	99.5042038	8.54100037	0.918806055	28.73155847	2.76
ERR1873299	147.2109985	8.13000011	1.041814926	23.92887982	3.48
ERR1873300	145.6707001	8.05500031	0.76574409	22.58726179	2.98
ERR2602462	145.6707001	8.05500031	0.76574409	22.58726179	2.98
ERR1873301	105.1657028	6.42199993	0.249440213	4.899396232	5.39
ERR1873302	105.1657028	6.42199993	0.073699349	1.597313756	4.44
ERR1873303	134.5514984	8.43999958	0.880575025	18.37542348	4.9
ERR1873304	125.2587967	7.07000017	0.693355357	15.75778668	4.08
ERR1873305	73.81700134	4.53599977	1.161935998	38.6353379	5.014444444
ERR1873306	121.8467026	3.69400001	0.615934107	7.803513517	5.072222222
ERR1873307	73.31819916	4.72599983	0.2315327	3.231582897	5.06
ERR1873308	73.31819916	4.72599983	0.201237406	3.174528086	4.58
ERR1873309	38.12080002	3.06800008	0.048028634	0.632017539	4.7
ERR2602463	39.86949921	3.81399989	0.115226782	1.564226852	4.79
ERR1873310	109.1312027	4.04699993	0.345557906	9.725277105	3.6
ERR1873311	113.3024979	4.00899982	0.273068487	5.260500245	5.13
ERR1873312	74.03869629	4.54899979	0.144009458	2.523235569	5.78
ERR1873313	134.9488068	5.21600008	0.719504728	12.11050232	3.08
ERR1873314	132.3516998	8.07800007	1.089032904	27.27618056	3.54
ERR1873315	102.9096985	8.91100025	1.866629463	27.7532551	5.63
ERR1873316	95.97329712	7	0.821356856	14.19621172	5.7
ERR1873317	95.97329712	7	0.998886305	14.65997243	5.64
ERR1873318	77.33950043	3.54200006	0.270203074	3.560354287	5.39
ERR2602464	110.9029999	5.88800001	0.210008652	2.667410619	5.46
ERR2602465	46.55220032	4.15600014	0.246041808	3.615416003	5.16
ERR1873319	59.46179962	3.59599996	0.063245536	0.81697459	5.4
ERR1873320	142.595	6.922	0.327285925	4.977859343	3.38
ERR1873321	59.6337	12.181	0.818697086	28.9348073	2.77
ERR2602466	83.3832	14.736	0.83576751	24.74089021	3.42
ERR1873322	78.7502	14.347	1.329289167	35.18106075	5.25
ERR1873323	58.6617	6.559	0.456693425	13.15301074	2.98
ERR1873324	80.9512	6.948	0.316152693	12.50167999	2.98
ERR1873325	85.98	6.141	0.588599705	17.7803539	5.44
ERR2602467	47.222	5.317	0.881411077	19.48385646	5.78
ERR1873326	89.2288	6.484	0.965873092	33.39032912	2.97
