	Mean.Depth_m	Mean.Temperature	Mean.Oxygen_umol.kg.1	PO4_umol.L.1	NO2NO3_umol.L.1	SI_umol.L.1	AMODIS.PAR8d.Einsteins.m.2.d.1
TARA_041_SRF_0.8_5.0	5.485917	29.089367	187.42925	0.14	0.09	1.47	47.55
TARA_058_SRF_0.8_5.0	NA	NA	NA	NA	NA	NA	NA
TARA_052_SRF_0.8_5.0	5.539583	27.8684	191.68	0.12	0	2.67	33.904
TARA_143_SRF_0.8_5.0	NA	NA	NA	NA	NA	NA	NA
TARA_123_SRF_0.8_5.0	5.537917	26.576175	189.758333	0.53	4.9	2.22	45.243
TARA_149_SRF_0.8_5.0	5.530667	18.732683	220.189917	0.06	0.68	0.8	13.849
TARA_095_SRF_0.8_5.0	NA	NA	NA	NA	NA	NA	NA
TARA_128_SRF_0.8_5.0	5.4465	26.074467	179.86	0.54	5.08	2.67	NA
TARA_110_SRF_0.8_5.0	5.464917	23.8683	190.816333	0.75	8.2	3.9	47.212
TARA_046_SRF_0.8_5.0	5.46075	30.12565	185.733167	0.1	0.05	1.94	43.495
TARA_067_SRF_0.8_5.0	5.453583	12.83445	249.351417	1.016	7.091	13.88	37.675
TARA_076_SRF_0.8_5.0	5.46125	23.349542	206.194333	0.056	0	0.814	NA
TARA_039_SRF_0.8_5.0	5.388583	26.81765	193.3535	0.23	0.03	1.44	46.899
TARA_129_SRF_0.8_5.0	NA	NA	NA	NA	NA	NA	NA
TARA_130_SRF_0.8_5.0	NA	NA	NA	NA	NA	NA	NA
TARA_072_SRF_0.8_5.0	5.8434	25.02619	199.1195	0.104	0.018	0.868	37.502
TARA_005_SRF_0.8_5.0	NA	NA	NA	NA	NA	NA	NA
TARA_082_SRF_0.8_5.0	5.480333	7.321517	305.012167	1.301	18.15	1.824	27.488
TARA_122_SRF_0.8_5.0	5.8596	26.54413	186.2407	0.57	5.46	2.19	40.236
TARA_084_SRF_0.8_5.0	5.9026	1.84402	338.2982	1.723	25.3	16.55	36.192
TARA_145_SRF_0.8_5.0	5.529083	14.11885	233.859	0.35	4.38	2.77	NA
TARA_042_SRF_0.8_5.0	5.417833	29.980283	189.25475	0.08	0.03	2.21	51.716
TARA_136_SRF_0.8_5.0	NA	NA	NA	NA	NA	NA	NA
TARA_092_SRF_0.8_5.0	NA	NA	NA	NA	NA	NA	NA
TARA_106_SRF_0.8_5.0	NA	NA	NA	NA	NA	NA	NA
TARA_137_SRF_0.8_5.0	5.370667	26.4091	195.126917	0.46	2.44	2.54	33.587
TARA_111_SRF_0.8_5.0	5.8897	22.76873	208.8654	0.5	2.68	1	34.233
TARA_051_SRF_0.8_5.0	NA	NA	NA	NA	NA	NA	NA
TARA_112_SRF_0.8_5.0	5.43925	24.237467	202.174583	0.14	0.03	0.8	27.005
TARA_139_SRF_0.8_5.0	NA	NA	NA	NA	NA	NA	NA
TARA_102_SRF_0.8_5.0	5.4785	24.943108	205.992583	1	12.6	5	42.123
TARA_064_SRF_0.8_5.0	5.494917	22.165567	210.00775	0.08	0	1.77	15.002
TARA_045_SRF_0.8_5.0	5.475583	30.496383	185.243833	1.94	28.64	15.14	33.851
TARA_100_SRF_0.8_5.0	5.479	25.2512	200.233917	0.68	6.2	1.2	41.79
TARA_018_SRF_0.8_5.0	5.425667	21.4395	207.791417	0.026	0.12	0.56	21.979
TARA_109_SRF_0.8_5.0	5.400583	27.617558	198.635833	0.27	0.9	1.7	51.461
TARA_152_SRF_0.8_5.0	5.413667	14.28065	243.148	0.16	2.16	1.24	23.761
TARA_009_SRF_0.8_5.0	5.784381	23.8526	NA	0.02	0.03	0.75	26.661
TARA_089_SRF_0.8_5.0	NA	NA	NA	NA	NA	NA	NA
TARA_068_SRF_0.8_5.0	5.427417	16.832058	231.914833	0.229	1.303	2.601	34.079
TARA_151_SRF_0.8_5.0	5.402083	17.260108	232.053333	0.01	0.02	0.65	20.692
TARA_078_SRF_0.8_5.0	5.5735	19.854083	221.47475	0	0.017	0.481	NA
TARA_146_SRF_0.8_5.0	11.6915	19.1288	214.365	0.02	0.74	0.94	NA
TARA_093_SRF_0.8_5.0	5.331833	18.014508	244.861667	0.52	0.02	0.09	37.262
TARA_016_SRF_0.8_5.0	NA	NA	NA	NA	NA	NA	NA
TARA_038_SRF_0.8_5.0	5.454333	26.2314	199.9355	0.32	0.06	1.18	47.652
TARA_066_SRF_0.8_5.0	5.39475	15.033492	238.916333	0.34	3.34	2.74	14.292
TARA_070_SRF_0.8_5.0	5.396667	19.776808	215.650833	0.364	0.986	1.362	48.151
TARA_132_SRF_0.8_5.0	5.453417	25.173925	197.682417	0.01	0.01	2.43	NA
TARA_147_SRF_0.8_5.0	NA	NA	NA	NA	NA	NA	NA
TARA_022_SRF_0.8_5.0	5.471833	17.041483	220.927083	0.02	0.21	2.03	16.095
TARA_135_SRF_0.8_5.0	NA	NA	NA	NA	NA	NA	NA
TARA_148_SRF_0.8_5.0	6.0535	20.3973	212.5623	0	0.15	0.73	NA
TARA_097_SRF_0.8_5.0	NA	NA	NA	NA	NA	NA	NA
TARA_096_SRF_0.8_5.0	5.51125	23.799133	204.13825	0.16	0.02	0.53	43.197
TARA_098_SRF_0.8_5.0	5.558167	25.14875	200.538167	0.2	0.05	0.38	44.893
TARA_150_SRF_0.8_5.0	5.530167	17.583075	228.375583	0.01	0.17	0.84	15.73
TARA_020_SRF_0.8_5.0	NA	NA	NA	NA	NA	NA	NA
TARA_025_SRF_0.8_5.0	5.516	18.342533	218.016833	0.01	0.03	1.05	13.616
