	Mean.Depth_m	Mean.Temperature	Mean.Oxygen_umol.kg.1	PO4_umol.L.1	NO2NO3_umol.L.1	SI_umol.L.1	AMODIS.PAR8d.Einsteins.m.2.d.1
TARA_132_SRF_0.22_3.0	5.453417	25.173925	197.682417	0.01	0.01	2.43	NA
TARA_133_SRF_0.22_3.0	5.4605	19.249733	224.407583	0.29	0.02	1.91	NA
TARA_137_SRF_0.22_3.0	5.370667	26.4091	195.126917	0.46	2.44	2.54	33.587
TARA_138_SRF_0.22_3.0	5.352917	26.6362	196.88275	0.16	0	1.19	40.62
TARA_140_SRF_0.22_3.0	5.41025	26.62925	205.2885	0.08	0	0.54	27.873
TARA_141_SRF_0.22_3.0	5.431667	27.119358	195.523833	0.01	0	2.93	35.883
TARA_142_SRF_0.22_3.0	5.443	24.96555	194.2675	0	0.05	1.22	NA
TARA_145_SRF_0.22_3.0	5.529083	14.11885	233.859	0.35	4.38	2.77	NA
TARA_146_SRF_0.22_3.0	11.6915	19.1288	214.365	0.02	0.74	0.94	NA
TARA_148_SRF_0.22_3.0	6.0535	20.3973	212.5623	0	0.15	0.73	NA
TARA_149_SRF_0.22_3.0	5.530667	18.732683	220.189917	0.06	0.68	0.8	13.849
TARA_150_SRF_0.22_3.0	5.530167	17.583075	228.375583	0.01	0.17	0.84	15.73
TARA_151_SRF_0.22_3.0	5.402083	17.260108	232.053333	0.01	0.02	0.65	20.692
TARA_152_SRF_0.22_3.0	5.413667	14.28065	243.148	0.16	2.16	1.24	23.761
TARA_056_SRF_0.22_3.0	5.462833	27.323117	193.05775	NA	NA	NA	37.61
TARA_057_SRF_0.22_3.0	5.56225	26.965433	190.05375	0	0	2.81	25.102
TARA_062_SRF_0.22_3.0	5.429917	25.080167	199.895917	NA	NA	NA	28.943
TARA_064_SRF_0.22_3.0	5.494917	22.165567	210.00775	0.08	0	1.77	15.002
TARA_065_SRF_0.22_3.0	5.9038	21.81684	207.0439	NA	NA	NA	9.208
TARA_066_SRF_0.22_3.0	5.39475	15.033492	238.916333	0.34	3.34	2.74	14.292
TARA_067_SRF_0.22_3.0	5.453583	12.83445	249.351417	1.016	7.091	13.88	37.675
