	TARA_100_MES_0.22_3.0	TARA_102_MES_0.22_3.0	TARA_109_MES_0.22_3.0	TARA_110_MES_0.22_3.0	TARA_111_MES_0.22_3.0	TARA_112_MES_0.22_3.0	TARA_122_MES_0.22_3.0	TARA_132_MES_0.22_3.0	TARA_133_MES_0.22_3.0	TARA_137_MES_0.22_3.0	TARA_138_MES_0.22_3.0	TARA_142_MES_0.22_3.0	TARA_145_MES_0.22_3.0	TARA_146_MES_0.22_3.0	TARA_148_MES_0.22_3.0	TARA_149_MES_0.22_3.0	TARA_152_MES_0.22_3.0	TARA_056_MES_0.22_3.0	TARA_064_MES_0.22_3.0	TARA_065_MES_0.22_3.0	TARA_068_MES_0.22_3.0	TARA_070_MES_0.22_3.0	TARA_072_MES_0.22_3.0	TARA_076_MES_0.22_3.0	TARA_078_MES_0.22_3.0	TARA_085_MES_0.22_3.0	TARA_098_MES_0.22_3.0
AACY024102418.157.1623	20	10	17	35	17	14	36	12	9	17	22	16	14	9	26	17	9	22	7	9	10	5	33	7	5	4	14
KC003383.1.1321	0	0	0	15	0	3	18	1	0	0	2	0	0	0	0	0	0	24	0	0	0	0	58	4	13	0	0
EU394547.1.1451	34	20	38	37	25	17	31	23	12	27	23	13	13	22	40	19	16	13	10	20	15	4	13	9	10	4	25
X52169.1.1473	0	1	1	15	0	0	25	0	0	0	1	0	0	0	0	0	0	4	0	0	0	0	10	0	7	0	0
EU802966.1.1361	6	5	4	7	1	1	12	1	2	2	3	2	0	1	5	1	1	20	1	1	1	5	52	2	14	1	3
EU802925.1.1450	0	0	0	13	0	1	9	1	0	1	0	0	0	0	0	0	0	20	0	0	0	0	57	0	6	0	0
AY664224.1.1233	3	7	7	20	9	4	11	4	8	2	1	1	9	8	12	13	4	14	8	2	7	1	19	2	11	6	3
GU940990.1.1405	1	0	0	15	0	0	11	0	0	0	0	0	1	0	0	0	0	21	0	0	0	0	59	1	7	0	0
GU940771.1.1349	11	4	5	27	2	7	13	4	3	3	1	3	1	6	13	8	4	5	4	4	6	0	19	5	11	1	4
FJ745117.1.1319	9	9	5	21	4	2	13	6	2	1	6	0	7	6	12	2	1	14	10	4	5	1	23	2	10	3	3
EF572471.1.1459	0	0	0	6	1	1	4	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	10	0	4	0	0
AM747321.1.1243	13	7	6	18	2	5	10	6	6	5	5	5	6	8	22	7	8	9	5	4	7	1	26	5	12	6	4
EU802283.1.1251	21	11	14	21	5	3	7	7	4	8	4	7	4	5	10	5	4	7	4	9	6	1	22	3	7	2	5
U40238.31654.33126	33	2	2	11	0	0	25	6	2	1	0	0	40	37	119	17	7	1	5	12	26	0	3	7	16	2	5
GQ348500.1.1314	10	4	2	17	2	2	5	5	2	0	2	1	6	5	6	2	5	3	3	3	6	3	7	4	9	5	2
AACY020564593.3718.5259	0	0	0	13	0	2	17	0	0	0	0	0	0	0	8	0	0	2	0	0	0	1	6	0	1	0	0
AJXC01019507.1.1272	31	31	18	26	26	28	25	33	30	7	9	22	38	25	37	35	33	40	26	27	41	12	21	20	45	30	31
AACY020549891.3846.5359	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	1	0	0
EF572127.1.1520	32	1	2	19	4	2	18	2	1	0	1	1	0	0	7	2	1	1	1	0	0	1	17	1	1	0	1
KC001820.1.1315	14	11	19	20	7	11	15	6	4	3	4	8	14	17	15	17	14	16	9	7	13	2	16	9	23	13	10
EU801991.1.1263	11	6	2	20	3	5	7	3	2	4	1	5	3	3	9	8	2	2	2	3	3	1	13	1	6	3	3
EU802280.1.1361	0	0	0	7	0	0	6	0	0	0	0	0	0	0	0	0	0	15	1	0	0	0	47	1	5	0	1
EU800764.1.1362	0	2	0	16	0	1	5	0	0	0	0	1	0	0	6	1	0	5	0	1	2	0	6	0	5	0	2
DQ009453.1.1963	80	72	66	44	66	49	46	85	67	65	69	59	75	50	52	60	71	53	54	51	53	28	23	35	43	34	70
AACY020562322.3851.5364	0	0	0	33	0	1	7	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	32	0	2	0	0
EU802362.1.1310	0	1	1	15	0	1	4	0	1	0	0	1	1	0	7	0	1	3	2	1	0	0	8	0	4	1	0
DQ009125.1.1942	20	0	0	9	1	0	6	0	0	0	0	0	1	3	4	2	0	0	1	1	0	0	2	0	4	0	1
DQ299286.1.1392	15	1	1	29	15	1	12	4	1	1	1	1	5	0	10	3	3	8	4	1	5	2	11	2	1	0	1
AACY020487638.121.1594	0	0	1	17	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	5	0	1	0	0
AACY020481938.3418.4929	0	1	1	4	0	0	4	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	10	0	0	0	0
EU802623.1.1438	1	1	0	8	0	0	2	0	0	0	3	1	1	0	1	0	1	15	1	0	0	0	26	0	4	1	0
EU686623.12708.14181	17	197	70	95	113	181	140	91	176	53	58	159	148	121	35	144	148	126	169	200	124	69	71	192	181	69	169
KC001946.1.1313	2	3	1	9	0	1	5	4	3	0	2	1	0	0	3	0	1	4	2	0	2	0	21	0	4	0	1
EU802424.1.1247	6	3	2	13	4	3	8	1	0	6	7	1	1	4	9	1	0	3	5	3	4	3	8	4	8	2	1
EF572710.1.1498	0	1	0	31	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	36	0	4	0	0
AACY020565564.130.1652	11	0	0	2	0	2	9	0	1	0	2	0	0	0	33	0	1	1	0	0	0	0	4	0	0	0	0
AACY020125842.54.1493	0	0	1	10	0	0	5	2	5	0	0	0	0	1	25	0	0	2	1	2	2	0	19	0	0	0	1
DQ009141.1.1996	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	1	0	0
GU940743.1.1341	2	0	1	10	3	2	7	1	3	0	1	0	3	2	2	4	2	4	2	0	4	2	8	1	5	3	2
AY664087.1.1207	0	0	0	12	0	1	10	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	17	1	3	0	0
EU802641.1.1377	0	1	0	7	0	0	7	1	0	1	0	1	0	1	1	0	0	9	3	0	0	0	29	0	7	0	0
JX945349.1.1357	4	3	4	12	5	5	3	1	1	4	2	1	3	7	11	1	3	3	6	2	8	3	18	1	3	6	3
HQ216327.1.1233	6	2	0	15	3	1	3	1	3	1	4	1	2	4	9	4	5	5	3	3	5	3	10	0	7	4	4
HQ163443.1.1344	8	3	3	14	3	1	6	4	4	3	0	0	4	2	3	2	0	0	2	2	2	1	2	3	4	3	0
EU804641.1.1462	0	0	0	14	0	3	5	0	0	1	1	1	0	0	12	0	1	5	0	1	0	0	12	0	0	0	1
EU800727.1.1251	3	4	3	6	5	5	4	7	6	2	3	4	8	5	7	6	2	4	3	5	4	3	8	3	2	3	4
EU795287.4965.6516	87	1	0	32	0	0	0	0	0	367	575	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EF572791.1.1441	3	5	4	6	0	2	10	2	3	1	0	1	2	0	1	2	3	5	2	1	2	0	33	0	4	0	1
EU803117.1.1251	13	11	8	19	11	11	18	9	6	11	8	12	12	9	15	11	10	7	15	15	9	4	14	12	12	8	7
FJ745080.1.1326	0	2	1	12	0	2	0	2	1	0	2	1	0	2	4	1	2	4	1	1	0	0	4	2	3	0	1
GU941067.1.1343	3	2	6	13	1	1	3	3	0	4	1	0	2	5	8	0	0	6	1	0	0	1	15	0	3	3	1
JQ347414.1.1492	1	1	0	7	4	1	2	0	2	0	1	0	2	1	1	2	0	1	0	0	0	0	5	0	0	0	2
EU802563.1.1450	2	0	0	3	0	0	2	0	0	0	0	1	0	0	0	0	0	13	0	0	0	0	44	0	9	0	0
GU940846.1.1513	4	2	1	12	2	3	8	0	0	1	4	2	2	4	4	3	0	5	2	1	3	0	9	2	4	1	3
AACY020396101.1882.3388	4	0	0	8	0	4	12	0	0	0	3	0	0	0	18	0	0	0	0	0	0	0	9	0	3	0	0
AY664104.1.1218	10	14	11	6	10	4	12	6	4	2	4	8	8	11	21	12	13	13	5	16	12	3	22	9	12	3	13
GU234305.1.1334	13	202	69	62	103	122	113	78	139	60	61	118	108	88	23	100	93	106	152	120	79	52	57	130	135	68	135
FQ032828.26868.28381	2	1	0	27	0	0	9	2	0	0	0	1	0	0	3	0	1	1	1	0	0	0	10	1	0	0	0
EU237344.1.1311	0	0	0	7	0	0	9	1	0	0	0	0	0	0	0	0	0	15	0	0	0	0	33	0	3	0	0
JN547444.1.1442	0	0	0	9	0	0	3	0	0	0	0	0	0	0	0	0	0	8	1	0	1	0	22	1	11	0	0
EU803081.1.1252	21	11	15	17	3	6	12	3	3	4	7	5	4	9	11	4	5	8	3	10	3	3	8	2	3	2	16
EF571939.1.1526	6	0	0	18	0	1	4	0	0	0	1	1	0	0	11	0	0	2	1	0	1	0	5	0	0	0	0
GQ349089.1.1337	5	2	4	7	2	0	6	1	2	3	0	2	1	2	2	0	0	2	2	1	2	0	10	0	6	1	3
EU802420.1.1442	0	0	0	4	0	0	3	0	0	0	0	0	0	0	0	0	0	17	1	0	0	0	24	0	4	0	0
AY726967.1.1236	39	24	34	11	15	13	7	24	4	137	7	34	2	3	1	7	1	4	15	48	38	664	201	32	2	0	10
JX945367.1.1372	0	0	0	10	0	0	4	1	0	0	0	1	0	0	0	0	0	7	0	0	0	0	42	0	4	0	2
EF574411.1.1527	0	0	0	3	0	1	4	0	0	0	0	0	0	0	4	0	0	1	1	2	0	0	8	0	3	0	0
EU802707.1.1478	0	0	0	13	0	0	2	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	9	0	1	0	0
AY664234.1.1252	11	11	5	10	11	11	11	8	13	2	5	7	11	18	18	25	13	14	14	13	17	4	17	10	13	6	11
HQ672001.1.1446	0	0	0	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0
EU801992.1.1230	3	1	4	9	1	1	5	2	1	3	0	1	1	7	5	3	0	6	5	3	7	1	12	0	7	3	1
EU802548.1.1445	0	0	0	3	0	0	4	0	0	0	0	0	0	0	0	0	0	6	0	0	0	2	13	0	5	0	0
AB193978.1.1441	0	1	0	0	1	0	2	0	0	0	0	0	1	1	16	0	1	0	1	0	0	0	0	0	0	4	0
EU802929.1.1358	2	2	1	8	2	1	1	1	2	3	0	2	1	6	5	1	0	2	2	3	3	2	3	1	2	2	5
HQ163158.1.1317	19	10	3	10	12	12	11	11	11	9	9	7	16	16	15	13	9	12	20	8	17	6	7	6	15	5	14
JQ224996.1.1347	15	1	1	2	1	1	12	2	1	0	1	0	20	26	88	9	5	0	0	3	14	0	3	2	9	1	1
EU801696.1.1459	1	0	0	9	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	8	0	1	0	0
FJ744916.1.1319	7	4	8	12	3	7	4	3	4	1	1	0	4	4	5	7	3	4	1	6	2	3	6	4	9	4	3
EU802541.1.1287	1	2	0	7	0	1	8	0	0	0	1	0	0	0	0	0	0	7	0	0	0	0	18	0	3	0	1
EU803052.1.1425	0	0	0	2	0	1	7	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	27	0	7	0	0
GQ377772.1.1269	0	0	0	4	0	0	0	0	1	1	0	0	0	0	0	0	0	1	3	2	0	0	1	0	1	0	0
L10934.1.1298	1	1	2	6	0	1	1	2	0	2	3	1	1	1	1	3	1	4	0	2	1	0	8	1	5	2	4
AY664135.1.1215	0	0	0	4	0	0	9	0	0	0	0	0	0	0	0	0	0	11	1	1	0	0	38	0	6	0	0
JN832930.1.1413	15	14	11	15	10	9	14	10	13	12	12	11	5	8	11	15	9	5	7	11	4	4	4	8	5	3	12
EF573597.1.1440	0	1	0	4	0	0	2	0	1	0	1	0	2	0	2	0	0	5	1	0	0	0	18	0	7	0	0
AB193965.1.1440	14	154	69	59	65	80	110	84	122	50	29	116	95	81	24	120	78	118	112	110	65	50	40	104	86	19	128
HQ163743.1.1324	0	1	1	15	1	1	5	0	1	0	1	2	1	0	2	2	1	2	1	4	0	0	6	0	5	1	0
EU802874.1.1450	0	1	0	2	0	1	4	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	27	0	5	0	0
GQ337263.1.1438	35	40	32	29	32	31	26	43	32	33	26	20	30	19	30	20	28	16	29	21	27	11	9	25	22	15	40
EF574990.1.1439	0	0	0	11	0	0	4	2	0	0	0	0	0	0	0	0	0	12	0	0	0	0	14	0	3	0	0
AY664211.1.1287	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	28	0	3	0	0
EF571982.1.1487	1	0	1	10	0	1	5	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	12	0	2	0	0
EU805091.1.1526	5	1	5	9	0	1	4	2	0	0	1	1	3	1	4	0	0	2	2	2	2	0	11	1	2	0	0
EU800927.1.1359	3	0	2	7	2	0	7	0	1	2	3	1	4	1	5	4	0	2	0	2	0	0	9	0	2	1	4
GU119298.1.1407	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	2	0	0	0	0	0	0	1	0	0
EU800517.1.1373	0	1	0	9	0	0	2	0	0	0	0	0	2	1	1	1	0	1	1	0	0	0	5	0	2	3	0
HQ671891.1.1439	0	0	0	9	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0
EF571973.1.1459	30	15	16	30	5	3	2	8	1	3	0	2	1	1	12	4	1	2	3	1	10	1	7	1	4	0	1
EU802798.1.1422	0	0	0	7	0	0	5	0	0	0	0	0	0	0	0	0	0	8	0	1	0	0	26	1	3	0	0
EU803067.1.1257	14	10	10	18	10	4	7	5	4	13	10	0	3	5	7	2	3	2	2	1	4	0	13	1	5	0	8
GU234735.1.1317	4	0	0	7	0	2	1	0	2	0	1	2	0	1	4	1	1	2	0	1	2	0	6	1	2	1	0
GQ346891.1.1321	12	2	6	12	6	7	5	3	4	7	8	7	13	5	6	9	7	4	6	7	9	4	4	5	5	10	6
EU802543.1.1499	0	1	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	3	0	0	0	0
AACY020555729.127.1634	0	0	0	29	1	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	6	0	1	0	0
AY726930.1.1212	23	9	13	13	8	6	4	8	1	6	2	4	3	6	28	11	10	2	11	4	15	2	8	3	10	3	3
EF573001.1.1489	1	3	2	15	1	0	5	0	0	0	0	0	0	1	4	1	0	1	1	1	0	0	8	0	2	0	0
EU802539.1.1352	3	1	1	3	3	1	3	6	2	3	4	2	0	6	1	7	2	3	3	3	1	0	13	0	5	1	2
EU802529.1.1481	0	0	0	4	0	1	2	0	0	0	0	0	0	0	2	0	0	5	0	0	0	0	7	0	1	0	0
EU237319.1.1311	0	0	2	9	0	1	7	0	0	0	0	0	0	0	0	0	0	7	0	0	0	1	17	0	4	0	0
JX945354.1.1385	0	0	0	4	0	0	2	0	0	0	0	0	0	0	0	0	0	7	1	0	0	0	26	0	6	0	0
EU802893.1.1441	0	0	0	8	0	0	0	0	1	0	0	0	0	0	1	0	0	3	0	0	0	0	12	1	3	0	0
EU805254.1.1438	27	11	31	8	11	7	1	7	0	4	1	4	1	7	12	7	2	0	2	0	4	0	2	1	2	1	1
GU235302.1.1328	4	0	1	5	3	0	2	0	0	1	1	1	1	1	2	0	0	4	1	0	1	0	9	1	1	0	0
EU802636.1.1362	1	1	0	5	1	1	6	0	0	0	0	0	1	1	1	0	0	3	0	0	0	0	8	0	4	0	0
JN547438.1.1447	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	1	0	0	31	0	5	0	0
GU235638.1.1322	3	2	1	6	1	0	4	1	1	0	0	1	0	1	2	0	1	4	0	1	4	1	6	2	2	8	2
GU940748.1.1341	4	0	1	13	0	2	2	3	0	1	0	1	3	3	2	4	0	3	2	1	2	2	8	2	2	1	0
EU800201.1.1303	0	0	0	6	0	0	5	0	1	1	1	0	0	0	3	0	1	2	0	0	1	0	12	0	1	0	0
EU237468.1.1312	0	2	4	6	2	0	2	2	3	0	2	2	3	3	3	0	3	4	1	2	4	1	12	1	4	6	1
EU686640.25381.26914	4	103	49	40	92	109	58	96	76	9	5	59	108	78	44	68	98	67	78	74	79	37	22	106	53	47	126
AY664073.1.1228	4	1	1	10	3	0	3	4	5	3	1	3	6	3	4	3	2	6	1	2	7	0	3	4	6	2	3
EU802984.1.1440	2	0	0	8	0	1	0	1	0	0	1	0	1	0	3	0	0	4	0	0	1	0	13	2	5	1	3
EU686618.3359.4826	15	49	61	54	104	5	39	54	63	6	2	35	57	78	415	45	42	4	23	30	71	6	10	19	27	41	41
EU803186.1.1437	0	0	0	7	1	0	4	0	1	0	0	0	0	1	0	1	1	6	0	1	0	0	17	0	1	0	0
GU940773.1.1334	0	0	0	19	0	0	5	0	1	0	0	0	0	0	1	0	0	1	0	2	0	1	2	1	1	0	0
AY664012.1.1253	2	0	0	2	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1	2	0	0
AACY020207233.1273.2814	1	0	0	8	0	0	7	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	12	0	0	0	0
AY033322.1.1446	165	59	169	134	109	10	5	8	6	123	53	6	1	5	7	8	10	5	6	4	1	1	3	4	4	0	8
AY907820.1.1458	0	0	0	2	1	1	4	0	0	0	0	0	0	1	5	0	0	1	0	3	3	0	3	0	0	0	1
HQ242620.1.1275	12	9	7	8	15	8	12	8	6	5	6	3	9	5	3	10	4	7	4	10	9	3	9	6	7	4	6
GU145455.1.1523	203	2	3	33	6	0	0	1	1	277	246	0	2	0	1	0	0	1	0	1	0	0	0	0	0	0	2
AACY023938218.20.1535	0	0	0	3	0	0	1	0	1	0	1	0	0	2	2	0	0	2	0	2	0	0	5	0	0	0	0
DQ009277.1.1996	0	0	1	4	1	2	0	1	1	0	0	1	0	0	1	0	0	2	0	0	2	0	3	0	1	1	0
HQ674365.1.1523	60	2	1	16	1	0	0	0	1	337	284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
DQ009159.1.1986	5	0	0	6	3	0	6	3	1	1	1	0	10	0	0	0	0	1	0	0	2	0	1	0	0	6	4
EU803056.1.1370	3	2	3	10	1	2	6	0	0	2	0	1	0	1	4	1	0	0	0	0	1	1	5	3	2	2	0
DQ156479.1.1258	14	1	0	7	4	1	7	0	2	1	0	0	6	0	3	0	2	2	0	1	2	1	9	1	3	2	0
EU802498.1.1435	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	32	0	2	0	0
EU801193.1.1360	1	0	0	6	0	0	3	0	1	1	2	0	0	0	4	0	1	6	0	1	0	1	3	0	3	1	1
U65908.1.1509	23	16	50	26	74	2	27	11	3	13	3	38	0	102	177	75	45	2	16	42	7	2	4	2	2	0	23
AB461943.1.1310	12	80	36	45	49	99	77	65	104	30	22	66	74	66	24	81	71	89	84	89	60	38	28	81	70	42	73
JN563820.1.1535	17	13	8	1	6	7	1	0	3	124	6	18	3	3	1	5	3	5	6	46	25	436	181	15	2	1	6
FJ744817.1.1308	4	4	1	12	1	1	2	2	3	2	0	3	3	7	8	6	2	1	3	3	7	1	2	1	3	1	2
EU800402.1.1485	0	0	1	5	0	1	2	0	0	0	0	0	0	0	2	0	0	1	0	1	0	0	10	0	0	0	0
EU802844.1.1359	3	0	0	4	1	0	6	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	5	1	3	1	2
EF572384.1.1486	3	1	3	11	4	1	7	2	1	2	1	3	2	0	7	1	2	3	0	4	0	1	7	0	1	3	1
FJ744908.1.1331	4	1	1	5	1	0	1	0	0	0	1	0	1	0	6	1	3	2	0	1	2	0	0	0	6	2	0
EU802480.1.1262	13	10	12	15	7	5	11	6	9	11	5	6	8	5	14	9	9	7	10	6	11	7	6	7	13	4	10
EF571926.1.1454	0	2	2	2	1	0	2	1	0	0	0	0	2	0	0	0	0	4	0	0	0	0	15	0	1	0	1
AY726843.1.1232	22	71	102	20	17	38	8	83	10	34	52	39	5	1	14	4	3	0	23	17	17	98	54	26	11	1	20
JX017005.1.1403	1	0	0	8	1	0	2	1	0	0	0	0	0	2	3	0	0	2	0	0	0	1	5	0	3	0	0
EF574119.1.1500	0	1	0	11	0	0	0	0	1	0	0	0	0	1	3	0	0	5	0	0	0	0	7	1	0	1	1
EU800666.1.1372	0	1	1	11	0	0	3	0	0	1	0	2	0	0	2	0	2	2	2	2	0	0	3	0	4	1	0
JN547476.1.1428	9	9	7	7	6	3	6	4	3	6	7	3	4	1	8	2	5	9	1	6	5	0	9	2	8	1	6
EU802532.1.1252	15	3	1	9	0	0	5	7	2	0	1	1	3	1	2	2	2	5	0	3	1	2	6	1	3	0	0
AY663941.1.1275	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0
EU802391.1.1436	0	0	0	3	0	0	3	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	17	0	3	0	0
AACY020068177.376.1853	0	0	1	5	2	1	7	0	3	0	1	1	0	1	0	2	2	4	1	0	1	0	9	1	1	0	0
EF574484.1.1444	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0
EU802942.1.1496	0	0	0	14	0	1	9	0	0	0	0	0	0	0	1	0	0	2	1	0	0	1	7	0	0	0	0
GU940897.1.1343	7	4	0	8	8	1	3	0	1	2	0	1	1	1	7	1	1	1	3	1	0	0	8	1	1	0	2
EU804864.1.1440	0	0	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	19	0	2	0	0
GU235451.1.1318	5	5	1	7	5	4	2	5	3	2	1	1	7	4	4	4	2	5	5	5	11	4	3	4	6	7	6
GU234848.1.1327	2	0	0	8	0	0	1	2	1	1	0	0	2	0	1	0	0	0	0	0	3	0	5	0	1	0	1
EU802460.1.1406	4	1	0	5	2	0	7	1	0	0	0	1	0	0	1	1	1	7	0	0	0	0	12	0	0	0	0
AB193918.1.1524	46	7	29	18	18	12	12	7	9	158	172	13	8	26	9	11	18	14	17	2	5	3	8	7	6	0	15
EU802960.1.1455	1	0	1	7	0	0	2	0	0	0	1	0	0	3	6	1	0	0	0	1	0	0	4	0	0	0	0
EF572587.1.1496	0	1	1	14	0	0	2	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	7	0	0	0	0
AF382127.1.1491	2	12	0	0	0	20	2	12	13	17	12	4	1	0	6	4	9	1	1	1	61	759	34	7	5	0	1
DQ156348.18592.20063	4	1	1	4	3	1	5	0	0	0	0	2	10	6	50	6	6	1	1	6	6	0	2	3	2	5	7
AM747314.1.1270	1	3	6	5	1	0	3	1	0	2	2	0	0	0	3	1	0	1	1	1	0	0	4	0	1	1	2
EU802700.1.1447	0	0	0	2	0	1	6	0	0	1	0	0	0	0	0	0	0	12	0	0	0	0	16	0	2	0	0
AY664015.1.1220	1	4	2	5	3	1	3	3	2	3	0	2	3	7	6	1	2	3	4	1	1	2	6	0	1	4	3
FJ745032.1.1322	2	0	0	8	0	0	0	0	1	0	0	0	0	1	1	3	0	1	1	0	0	0	3	0	2	2	0
EU686616.36653.38121	55	11	10	19	47	3	12	20	12	5	5	2	17	2	25	5	12	5	2	5	15	3	4	1	7	0	4
EU802971.1.1498	0	0	0	5	0	0	2	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	7	0	1	0	0
EF572892.1.1439	4	2	1	9	1	3	8	1	1	3	0	1	4	5	4	1	1	1	3	1	2	0	15	1	3	0	2
EF574241.1.1490	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	2	0	0	0	0
EU802980.1.1373	1	0	2	6	0	0	2	2	0	0	0	0	1	0	2	1	0	3	0	0	1	0	7	0	5	0	1
EU802905.1.1437	0	0	0	3	1	1	2	0	0	0	0	0	0	0	0	0	0	6	1	0	2	0	25	0	1	2	0
GU940747.1.1343	18	7	7	10	3	3	1	1	2	5	1	2	0	3	7	3	2	3	3	1	1	1	4	0	3	1	3
EU802833.1.1487	0	0	3	7	0	0	2	1	1	0	0	13	0	0	0	0	0	1	0	0	2	2	4	0	0	0	0
EU802865.1.1431	2	3	2	2	0	1	5	1	0	2	1	2	1	1	5	2	3	5	2	1	2	1	8	1	4	1	0
AACY020555882.2572.4023	0	1	0	20	0	0	2	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	4	0	0	0	0
FN433412.1.1496	0	0	0	3	0	0	4	0	0	0	0	0	0	0	1	0	0	3	0	1	0	1	10	0	0	0	0
EU802840.1.1440	0	0	0	4	1	1	2	0	0	0	0	1	0	0	1	0	0	2	0	0	1	0	11	0	2	1	0
EU802434.1.1365	0	1	1	4	0	1	4	3	0	0	0	0	2	2	1	0	2	2	1	1	1	0	8	0	1	1	0
EU803160.1.1450	0	0	0	2	0	2	3	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	23	0	3	0	0
AJXC01000443.5756.7214	5	82	36	49	58	63	59	63	98	38	29	55	86	57	8	55	52	51	71	65	46	35	29	77	60	27	57
GU061415.1.1485	0	0	0	3	0	1	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	10	0	0	0	0
AY726917.1.1225	8	6	12	9	8	5	7	12	7	6	4	7	16	9	14	11	4	9	9	10	19	2	8	6	18	3	10
JQ220558.1.915	4	101	32	29	41	38	50	65	89	28	24	76	62	68	19	71	55	53	61	64	53	36	21	54	64	18	75
EU799628.1.1361	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0
EF574264.1.1492	0	1	1	9	1	2	3	3	0	3	0	1	0	0	0	0	0	2	0	1	3	27	2	1	0	0	1
HQ672720.1.1447	54	25	28	26	18	15	12	9	7	13	5	10	13	7	16	12	16	8	6	8	8	5	5	7	13	11	7
AY664083.1.1206	4	3	1	1	2	2	5	5	2	0	2	4	1	1	3	4	3	3	2	2	7	1	4	1	3	4	4
EF574440.1.1446	0	1	0	4	0	0	4	0	0	0	1	0	0	0	0	0	0	4	1	0	0	0	12	0	3	0	0
GQ349786.1.1320	5	4	0	5	6	4	3	4	3	1	2	5	5	4	4	4	2	5	3	2	3	1	5	1	2	4	2
HQ674246.1.1475	16	28	56	20	84	25	42	37	19	42	25	46	13	56	19	49	50	18	34	32	16	4	15	17	6	0	39
DQ009161.1.1974	1	0	0	7	0	0	6	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	4	0	4	0	0
AY664105.1.1226	0	0	0	2	0	0	8	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	17	0	4	0	0
HQ671756.1.1446	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
EU802684.1.1366	2	0	0	4	1	4	4	2	0	0	0	0	1	1	1	0	1	3	1	0	0	0	6	0	3	1	3
GU061948.1.1441	1	1	1	4	1	0	1	0	0	1	0	0	1	1	0	1	0	2	0	0	0	0	9	0	4	1	0
EF572922.1.1449	0	1	1	3	0	3	2	0	0	0	0	0	0	0	2	0	2	1	2	1	0	1	9	0	6	0	1
GU235821.1.1320	8	0	3	5	2	6	3	1	1	1	4	3	2	1	2	5	3	2	6	3	7	0	5	2	3	0	2
EU802983.1.1388	0	0	0	8	0	0	1	0	0	0	0	0	2	0	3	0	0	1	0	0	1	0	10	0	0	1	0
FJ745198.1.1365	0	0	0	5	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	2	0	1	0	0
AACY020075636.150.1670	5	1	1	10	0	0	6	1	1	0	1	1	0	0	3	1	0	2	1	0	2	0	1	1	0	0	0
EU686643.5839.7313	0	53	39	46	85	43	64	79	50	14	15	74	24	69	22	67	72	48	63	57	44	22	28	21	21	13	93
