	TARA_100_MES_0.22_3.0	TARA_102_MES_0.22_3.0	TARA_109_MES_0.22_3.0	TARA_110_MES_0.22_3.0	TARA_111_MES_0.22_3.0	TARA_112_MES_0.22_3.0	TARA_122_MES_0.22_3.0	TARA_132_MES_0.22_3.0	TARA_133_MES_0.22_3.0	TARA_137_MES_0.22_3.0	TARA_138_MES_0.22_3.0	TARA_142_MES_0.22_3.0	TARA_145_MES_0.22_3.0	TARA_146_MES_0.22_3.0	TARA_148_MES_0.22_3.0	TARA_149_MES_0.22_3.0	TARA_152_MES_0.22_3.0	TARA_056_MES_0.22_3.0	TARA_064_MES_0.22_3.0	TARA_065_MES_0.22_3.0	TARA_068_MES_0.22_3.0	TARA_070_MES_0.22_3.0	TARA_072_MES_0.22_3.0	TARA_076_MES_0.22_3.0	TARA_078_MES_0.22_3.0	TARA_085_MES_0.22_3.0	TARA_098_MES_0.22_3.0
HQ672802.1.1497	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0
FR683128.1.1501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
GU234920.1.1376	0	0	0	0	1	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0
EU801760.1.1378	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EU491735.1.1440	0	0	0	0	1	0	0	1	0	0	0	0	0	0	2	1	0	0	1	0	0	0	1	0	0	0	1
FJ745265.1.1357	5	0	0	1	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
GQ337194.1.1446	0	1	0	1	2	1	0	2	0	6	0	3	1	3	2	2	4	2	1	2	2	0	1	1	2	0	4
HQ673868.1.1495	0	0	1	1	1	3	3	1	3	2	0	0	1	1	2	0	0	1	4	2	0	2	1	4	4	6	0
EF575001.1.1448	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EU801350.1.1489	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EU801817.1.1474	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JX306765.1.1398	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
DQ522931.1.1290	0	0	0	0	1	0	2	0	0	0	0	1	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0
EU799745.1.1464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
HQ163768.1.1360	0	1	0	5	2	1	0	3	1	2	2	0	5	1	1	2	1	0	4	3	0	0	0	2	2	6	2
JN606927.1.1376	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EF659429.1.1450	0	0	1	0	0	1	3	0	0	1	0	1	1	1	2	3	1	10	4	2	3	0	0	1	1	1	0
GU305740.1.1454	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JN018523.1.931	0	0	0	1	0	0	0	0	1	0	0	0	2	1	6	0	0	0	0	2	1	0	0	1	0	2	0
EF106798.1.1150	2	0	0	0	0	0	0	0	0	2	1	0	4	1	10	0	1	0	1	1	0	0	0	1	2	0	0
GQ377834.1.1256	0	2	1	1	0	7	2	0	0	1	1	5	6	4	4	5	2	7	0	3	2	1	0	0	0	0	0
JQ678339.1.1491	0	0	0	1	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
KC425531.1.1445	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
JN606918.1.1375	0	0	0	0	3	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	3	0	3	0	0	1	0
FR684863.1.1444	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GU940763.1.1281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
HQ674237.1.1523	0	2	1	0	2	9	4	1	3	1	3	0	3	0	0	3	2	2	1	1	1	1	2	10	3	3	4
AF530135.1.1403	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	7	0
AY345478.1.1408	1	0	3	1	0	0	1	2	0	2	1	1	0	0	0	0	0	0	1	0	0	6	2	0	2	0	0
DQ156406.1.1251	0	0	0	0	0	0	1	2	0	0	0	0	1	1	1	1	0	0	0	2	1	0	0	0	2	0	0
DQ395539.1.1519	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0
EU491336.1.1475	0	0	1	0	2	3	1	1	0	2	0	0	0	2	2	2	2	8	4	3	3	2	1	3	1	5	5
HQ673331.1.1508	0	1	0	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	4	0
JQ328041.1.1403	0	0	0	0	0	2	2	0	0	0	1	3	0	0	0	0	0	0	0	1	1	1	8	7	1	0	0
JX016714.1.1494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
AY375126.1.1502	0	0	4	0	0	0	0	2	4	1	1	0	1	0	0	0	0	0	0	1	0	2	1	3	2	0	0
DQ396117.1.1380	7	0	2	1	0	0	0	2	3	2	0	0	0	1	1	1	1	1	0	0	1	0	0	0	0	2	2
FJ745242.1.1310	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JX537858.1.1224	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DQ270756.1.1437	0	0	2	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	4	0	3	6	1	2	3	2	1
GQ350981.1.1357	0	0	2	0	1	1	0	3	0	1	0	2	0	4	5	2	0	0	0	2	3	1	0	0	3	0	0
GQ351216.1.1487	1	1	1	1	5	0	0	1	2	0	0	1	0	1	0	1	0	0	0	0	2	0	1	1	1	0	1
JF263530.1.1458	1	0	1	0	0	0	0	0	0	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AB212890.1.1490	0	0	5	0	0	0	0	0	3	0	2	3	0	0	0	0	0	1	0	0	0	2	1	8	1	0	0
FR684277.1.1423	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	3	0	1	0	0	0	0	0	0	0
HQ395141.1.1502	0	0	4	0	0	1	0	0	4	2	0	1	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0
GU235503.1.1367	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
JQ032050.1.1336	0	1	8	2	0	3	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AY167319.1.1473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0
AY576749.1.1467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
EU802880.1.1254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
FJ203457.1.1440	0	0	1	0	1	1	1	0	0	0	0	1	1	1	4	3	0	2	1	1	2	2	1	1	0	1	1
JF159464.1.1355	0	0	2	0	1	1	0	0	1	0	0	1	1	0	0	1	0	1	8	1	0	8	1	2	1	1	0
JF747659.1.1515	3	0	1	0	0	1	1	1	1	0	2	1	1	0	2	2	2	2	2	5	2	0	0	2	0	0	4
EU907929.1.1406	0	1	0	0	1	2	2	1	0	0	1	6	1	0	2	3	3	6	2	0	1	0	0	2	3	0	1
HQ674247.1.1492	0	1	1	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	2	0	0	0
JN683985.1.1502	0	0	2	5	4	8	3	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	1
EF646138.1.1481	0	0	0	2	1	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FR684825.1.1469	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
HQ674293.1.1495	0	1	1	1	4	0	1	2	0	3	6	0	1	1	0	3	3	1	1	3	2	2	2	1	2	2	2
FM882228.1.1386	0	0	3	1	1	13	4	0	0	0	0	3	2	2	2	1	0	6	1	1	0	0	0	1	0	0	0
HM798760.1.1412	1	0	0	0	0	10	0	1	0	0	0	1	4	2	1	1	2	3	3	5	1	3	1	4	6	5	2
JX262616.1.1535	0	0	1	1	0	9	3	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	5	1	0	0
DQ396053.1.1480	1	2	1	2	1	0	1	1	1	0	0	4	1	2	2	5	2	4	2	3	3	0	0	3	3	2	0
EF416572.1.1434	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
HQ673127.1.1525	0	2	0	2	2	4	0	1	0	0	0	0	1	4	0	0	1	5	1	2	0	2	0	2	0	1	1
JN873198.1.1439	0	0	0	0	0	3	1	1	1	0	1	1	5	1	1	1	0	15	1	2	0	0	0	2	1	0	0
JQ690679.1.1394	0	0	3	0	1	0	2	0	1	0	1	2	0	0	0	1	0	0	4	0	1	10	1	2	1	1	0
JX879053.1.1463	0	0	0	0	1	3	1	2	0	0	0	1	2	3	1	4	4	0	3	8	1	1	1	5	1	0	2
GQ347981.1.1379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
FJ826163.1.1477	0	3	3	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0
HQ671864.1.1424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
AY664192.1.1272	2	3	4	1	1	3	0	4	0	1	0	2	0	0	0	0	0	0	2	1	2	1	0	0	0	0	1
