	TARA_100_SRF_0.22_3.0	TARA_102_SRF_0.22_3.0	TARA_109_SRF_0.22_3.0	TARA_110_SRF_0.22_3.0	TARA_111_SRF_0.22_3.0	TARA_112_SRF_0.22_3.0	TARA_122_SRF_0.22_3.0	TARA_123_SRF_0.22_3.0	TARA_124_SRF_0.22_3.0	TARA_125_SRF_0.22_3.0	TARA_128_SRF_0.22_3.0	TARA_132_SRF_0.22_3.0	TARA_133_SRF_0.22_3.0	TARA_137_SRF_0.22_3.0	TARA_138_SRF_0.22_3.0	TARA_140_SRF_0.22_3.0	TARA_141_SRF_0.22_3.0	TARA_142_SRF_0.22_3.0	TARA_145_SRF_0.22_3.0	TARA_146_SRF_0.22_3.0	TARA_148_SRF_0.22_3.0	TARA_149_SRF_0.22_3.0	TARA_150_SRF_0.22_3.0	TARA_151_SRF_0.22_3.0	TARA_152_SRF_0.22_3.0	TARA_056_SRF_0.22_3.0	TARA_057_SRF_0.22_3.0	TARA_062_SRF_0.22_3.0	TARA_064_SRF_0.22_3.0	TARA_065_SRF_0.22_3.0	TARA_066_SRF_0.22_3.0	TARA_067_SRF_0.22_3.0	TARA_068_SRF_0.22_3.0	TARA_070_SRF_0.22_3.0	TARA_072_SRF_0.22_3.0	TARA_076_SRF_0.22_3.0	TARA_078_SRF_0.22_3.0	TARA_082_SRF_0.22_3.0	TARA_084_SRF_0.22_3.0	TARA_085_SRF_0.22_3.0	TARA_093_SRF_0.22_3.0	TARA_094_SRF_0.22_3.0	TARA_096_SRF_0.22_3.0	TARA_098_SRF_0.22_3.0	TARA_099_SRF_0.22_3.0
JN832938.1.1357	11	5	6	9	11	6	6	3	4	5	6	6	8	10	3	4	5	2	5	6	4	4	3	8	9	7	3	3	2	11	7	3	3	5	1	1	2	0	0	0	14	4	7	7	5
EF573781.1.1448	8	4	13	7	11	4	5	21	1	5	3	11	4	8	9	5	13	2	1	1	2	2	0	0	1	4	10	6	1	1	0	3	0	5	5	16	4	1	0	0	1	7	7	14	9
AACY023939069.20.1514	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	4	22	9	6	6	4	4	0	0	0	0	2	1	0	4	1	1	0	1	0	0	0	0	0	0	0	0
KC000812.1.1365	16	8	19	4	18	5	13	3	13	7	10	3	11	11	3	6	8	4	7	0	1	1	5	2	3	2	9	4	9	4	4	6	2	10	2	4	5	1	2	1	5	7	7	3	5
EU802757.1.1451	6	5	6	6	11	13	9	11	11	8	7	11	0	3	10	8	7	16	6	6	8	6	3	2	1	14	14	9	13	8	2	0	4	7	8	14	16	0	0	0	0	0	2	4	4
EU802872.1.1478	0	0	0	1	1	4	0	1	2	4	2	0	0	0	5	0	5	51	0	26	19	2	7	3	11	2	5	3	7	14	2	0	7	0	1	0	0	0	0	0	0	0	0	2	0
EF574731.1.1470	6	6	5	18	25	3	10	2	16	13	9	0	10	11	7	0	0	0	3	1	0	6	4	12	8	1	0	0	2	2	2	3	2	14	10	5	9	0	0	1	3	10	11	2	8
DQ395552.1.1518	14	10	8	15	10	0	2	2	3	4	0	8	26	13	1	3	4	0	2	0	1	0	0	38	3	1	0	1	0	0	3	41	0	5	0	1	15	43	8	0	0	8	3	0	7
EU799308.1.1374	1	7	1	7	2	0	0	2	1	5	2	1	5	4	2	2	0	0	7	0	1	4	5	5	2	2	0	1	1	2	5	3	2	2	3	4	7	27	51	65	1	5	10	7	7
EU804188.1.1426	28	20	14	13	14	0	6	11	5	7	8	5	6	7	5	1	9	1	0	3	2	0	8	5	2	7	4	3	3	2	4	1	0	12	2	2	6	0	0	0	0	14	1	2	0
EU237459.1.1302	19	14	12	8	8	7	11	5	4	6	4	16	3	7	11	1	9	1	0	2	1	1	2	2	1	8	7	10	8	6	3	0	1	3	10	5	2	0	0	0	4	8	18	10	11
EU804263.1.1440	7	6	1	0	4	8	2	3	2	6	0	4	5	1	2	3	6	6	6	5	13	9	5	7	3	8	7	11	10	6	4	2	1	3	9	7	7	2	0	0	7	7	0	0	5
EU803203.1.1437	1	0	4	1	2	11	4	4	4	0	3	14	2	5	4	3	7	15	0	6	4	7	7	9	8	8	7	4	11	6	5	0	4	4	7	14	9	0	0	0	0	5	18	22	12
JQ220924.1.916	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EU803089.1.1462	3	10	11	10	0	7	8	9	13	9	12	11	7	2	5	13	4	10	0	3	13	3	3	4	1	10	15	11	7	5	3	0	2	4	8	9	3	0	0	0	0	6	7	4	10
AF382130.1.1484	4	6	9	2	1	9	0	0	0	0	1	22	11	6	5	17	27	1	1	0	0	3	1	0	0	0	4	3	2	3	1	0	0	1	3	10	0	0	0	0	2	5	48	42	24
HQ673764.1.1437	1	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	4	1	5	2	4	1	3	1	1	2	1	2	5	3	0	1	0	0	1	1	0	0	0	0	0	0	0	0
EU802895.1.1415	8	1	1	5	3	8	8	4	5	7	5	5	6	7	7	6	3	13	3	6	5	1	4	8	3	8	7	9	5	8	2	1	4	3	9	4	8	0	1	0	5	4	3	4	2
JX945359.1.1444	0	12	35	4	3	2	0	2	0	2	5	1	4	9	1	6	24	17	1	0	7	1	4	2	2	4	5	4	2	0	0	1	11	8	1	2	1	0	0	0	6	0	1	0	4
GQ337094.1.1520	0	1	0	1	4	4	0	0	0	1	0	1	0	1	3	1	0	6	25	2	1	5	7	8	19	6	1	9	4	0	15	10	0	2	8	0	0	0	0	0	0	0	0	0	0
HQ672778.1.1523	0	2	0	0	0	1	2	2	0	0	1	0	2	1	0	0	0	16	3	13	5	3	5	3	1	1	0	0	5	3	2	0	3	1	1	1	1	0	0	0	0	0	1	0	0
GQ375271.1.1521	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HQ674579.1.1521	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EU686615.30301.31771	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EU802891.1.1376	15	7	20	11	12	3	13	6	14	7	5	7	7	10	4	7	7	2	3	2	3	5	10	6	4	9	3	10	2	9	4	9	3	3	3	5	4	8	0	2	9	12	5	2	8
EF574269.1.1438	6	2	2	4	7	8	9	13	2	6	5	7	4	4	5	4	0	5	6	5	10	10	9	10	1	2	4	7	10	8	4	0	4	3	4	8	16	0	0	0	0	5	2	4	7
EU802473.1.1436	7	1	13	4	4	11	9	2	7	3	5	8	0	1	13	7	4	9	2	10	15	9	5	6	3	6	3	9	7	11	4	0	0	7	7	13	7	0	0	0	0	0	22	17	19
EU805199.1.1426	4	0	1	2	9	4	5	1	3	3	4	3	0	1	2	2	1	3	0	3	5	9	11	14	6	0	0	4	7	3	4	0	11	10	10	5	9	0	0	0	0	0	0	1	1
JQ222710.1.1336	0	5	0	0	0	0	0	0	0	3	1	0	7	0	0	4	1	1	63	4	1	19	10	13	57	0	0	0	3	10	33	3	10	12	1	0	0	0	0	0	0	0	0	0	0
AACY020276549.377.1886	0	1	1	4	0	0	0	0	0	0	2	0	1	0	0	0	0	10	4	14	21	9	10	9	6	1	5	1	9	11	4	0	4	0	0	0	0	0	0	0	0	2	1	0	0
AB193999.1.1440	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EU802868.1.1480	0	1	1	4	2	3	2	14	6	6	1	4	0	4	7	14	6	14	2	9	14	5	5	5	3	4	8	12	10	9	7	0	4	7	8	3	0	0	0	0	0	0	0	0	0
EU802523.1.1457	0	3	13	6	8	7	12	7	11	12	8	7	0	18	13	21	11	10	2	1	5	1	0	2	0	13	14	13	7	4	1	0	3	4	8	4	3	0	0	0	1	2	0	3	0
GQ337166.1.1435	0	0	0	3	0	0	1	0	0	2	0	0	0	1	0	1	0	11	9	17	16	6	7	5	8	1	2	1	5	5	4	0	10	4	0	0	5	0	0	0	0	0	0	0	0
JQ221123.1.914	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FJ745081.1.1358	1	11	6	6	5	1	7	2	5	11	6	0	7	9	3	9	3	2	10	12	5	9	10	22	12	2	4	4	5	1	12	16	2	1	2	1	2	0	0	0	0	5	2	3	4
EU802386.1.1449	5	3	11	4	3	18	9	2	6	4	5	10	3	5	17	4	7	6	1	4	7	13	6	0	12	6	5	2	4	3	4	0	1	9	14	8	4	0	0	0	1	5	15	14	7
EU592338.1.1399	3	0	3	2	7	1	4	24	8	4	9	5	1	4	7	4	0	5	12	6	9	16	11	2	7	2	4	2	2	5	3	17	40	30	7	41	12	47	12	14	0	0	3	5	1
FJ826248.1.1455	0	0	0	2	0	0	0	11	16	4	0	0	1	0	0	0	1	5	23	19	14	11	1	1	5	2	2	0	10	16	19	4	12	9	0	2	3	7	0	0	3	0	0	0	0
AY663935.1.1244	0	0	8	3	1	0	0	12	7	5	1	0	3	0	0	15	41	5	3	2	11	6	4	2	11	1	22	3	7	12	0	2	7	5	0	3	5	0	0	0	15	2	0	0	0
JQ062702.1.1447	14	11	8	6	5	1	14	2	11	23	22	0	6	10	2	0	1	2	2	0	0	6	3	2	4	3	2	2	1	1	2	1	24	13	0	2	0	0	0	0	14	3	0	0	0
HQ673415.1.1504	0	0	0	0	0	2	0	0	0	0	1	0	1	0	0	0	0	0	0	9	4	3	3	0	1	1	0	1	1	4	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0
GU119414.1.1396	8	4	2	5	4	7	2	3	6	4	4	6	5	1	8	9	5	3	7	1	5	7	3	7	4	6	9	8	4	11	10	1	2	6	6	2	2	0	2	0	7	11	4	1	2
HQ672153.1.1446	4	5	2	3	5	16	3	9	5	4	3	14	11	5	10	6	7	8	3	0	4	0	4	4	2	9	7	14	2	6	6	9	2	4	6	4	2	3	0	2	6	9	0	4	2
HQ673163.1.1436	0	0	1	1	1	1	1	0	1	0	1	0	0	2	0	1	0	2	1	1	1	4	1	3	0	0	0	2	3	0	3	1	0	1	0	2	0	0	0	1	0	1	2	1	1
JN177585.1.1449	3	5	2	3	4	2	5	4	2	6	2	2	9	3	0	3	3	1	6	2	5	2	3	5	7	2	2	3	2	4	6	3	2	0	1	1	4	17	32	22	2	8	4	5	4
HQ673878.1.1507	0	4	1	3	2	8	14	11	9	2	5	0	0	9	7	1	3	13	9	3	2	3	0	1	0	17	5	12	7	11	4	0	1	5	4	0	0	0	0	0	0	0	0	0	0
EF574718.1.1497	11	5	2	14	10	3	5	1	8	1	6	0	0	7	2	2	0	0	6	0	5	2	4	3	4	1	0	0	3	3	1	0	5	17	4	4	8	0	0	0	2	4	9	3	7
AY664277.1.1248	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	3	0	0	5	0	0	113	4	0	0	0
EU802284.1.1447	11	2	5	4	9	14	11	1	5	13	4	14	4	2	9	8	4	3	0	2	4	3	7	6	7	8	2	4	9	8	4	0	0	4	4	10	13	0	0	0	1	8	9	13	9
AACY020553637.768.2309	1	12	20	13	9	5	28	3	6	23	14	15	0	14	9	23	2	3	0	0	2	2	3	3	1	13	6	15	15	5	1	0	0	1	10	6	3	0	0	0	0	0	2	8	4
EF572785.1.1464	3	0	7	1	8	3	8	8	11	14	6	3	0	8	8	3	12	7	1	9	8	6	0	0	0	9	1	7	11	14	2	0	3	2	10	5	0	0	0	0	0	0	4	1	5
EU686588.13514.15011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	1	1	3	0	6	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
EF574673.1.1448	4	0	1	4	0	1	0	3	0	0	0	1	1	0	3	1	0	1	0	0	2	1	2	0	1	0	1	2	0	0	1	1	11	6	0	1	0	5	0	0	1	3	1	0	1
HM445968.1.1417	6	11	7	8	14	1	7	0	4	4	3	5	12	7	5	3	5	3	4	8	3	10	9	5	3	3	3	1	6	7	9	7	3	4	3	1	5	0	2	1	18	6	6	4	2
JQ221717.1.914	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HQ672070.1.1444	3	0	4	8	4	3	5	29	5	3	8	6	4	5	4	0	1	5	5	1	8	10	10	4	8	1	5	2	4	3	4	5	31	26	2	14	3	52	20	16	0	0	1	2	1
EU802699.1.1439	10	2	5	5	13	7	12	10	8	9	4	6	6	9	12	6	8	4	2	3	2	4	4	4	2	6	6	9	1	12	4	0	2	3	5	1	3	1	0	0	5	9	19	15	15
EU802444.1.1439	4	6	2	2	3	7	2	6	3	4	1	7	2	3	8	3	3	7	1	8	6	8	10	6	4	8	4	1	7	9	6	0	1	5	5	3	8	0	0	0	1	3	7	12	7
EF572059.1.1446	8	9	1	6	6	6	5	3	5	1	3	9	16	5	6	4	2	3	2	2	5	2	5	8	3	3	5	6	3	3	1	3	1	4	5	5	20	3	0	0	8	11	18	14	14
JQ062792.1.1431	13	6	5	11	6	0	21	1	14	17	14	0	1	7	3	3	5	1	1	0	0	3	5	0	3	4	3	2	0	0	1	2	12	17	0	0	0	0	0	0	14	4	0	0	0
GU061861.1.1423	14	20	10	13	12	1	4	5	3	4	9	8	4	6	6	7	5	1	5	1	3	0	7	3	6	0	7	1	3	4	4	1	5	16	3	3	6	0	0	0	8	12	5	0	1
HQ673064.1.1522	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	4	0	2	0	1	1	0	1	0	0	0	1	1	0	1	1	2	1	0	0	0	0	0	0	0	0	0	0
EU803154.1.1453	3	1	6	2	6	22	5	1	9	12	5	13	4	5	9	4	3	4	1	6	8	7	5	9	4	8	7	12	9	9	2	0	2	4	7	16	3	0	0	0	0	8	13	14	8
EU800040.1.1438	5	5	3	3	7	6	4	2	4	5	2	6	24	4	4	5	3	3	2	6	5	1	4	15	8	5	3	4	2	6	6	11	1	4	2	5	3	2	0	1	16	14	0	4	2
HQ672606.1.1437	0	1	1	1	1	2	1	2	2	0	3	1	0	1	2	0	2	2	2	4	8	2	5	5	3	1	2	0	6	4	5	1	7	0	0	2	0	0	0	0	0	0	1	0	0
GQ375276.1.1509	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	3	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HQ673169.1.1436	0	0	3	3	0	4	3	1	2	2	2	1	2	0	2	0	0	16	7	11	7	6	5	4	5	6	7	5	7	6	3	0	1	1	2	0	3	0	0	0	1	0	1	1	1
AY663936.1.1224	0	5	5	0	0	0	0	12	10	2	0	0	3	4	0	16	57	8	4	7	17	6	5	1	4	0	40	7	5	10	3	4	10	1	1	3	6	0	0	0	8	1	0	0	0
AY664200.1.1262	8	8	2	4	5	5	9	4	6	7	3	9	6	4	4	5	3	5	3	5	8	3	3	10	4	3	8	8	5	11	5	2	0	2	6	8	13	1	0	0	5	5	0	2	7
AF115271.1.1404	7	2	4	4	12	13	9	0	6	2	16	8	1	8	19	1	1	4	0	0	4	2	2	2	0	29	11	5	21	1	0	0	3	3	13	6	6	0	0	0	1	0	4	8	4
JX945335.1.1426	9	4	6	11	6	10	6	9	5	4	14	12	6	10	20	9	2	4	0	2	3	0	2	1	2	20	5	5	9	1	0	0	3	4	12	8	12	0	0	0	0	10	8	7	9
AY907754.1.1353	0	0	1	0	0	8	0	1	2	11	2	0	0	0	0	1	3	7	4	6	15	7	6	0	4	2	5	9	6	6	2	0	1	15	1	1	1	0	0	0	0	0	0	1	0
AY726929.1.1212	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0
EU799981.1.1461	8	13	7	2	7	3	2	1	8	5	4	3	11	4	3	2	4	4	6	0	5	1	4	4	9	2	5	3	4	4	7	18	4	3	6	5	3	13	14	1	5	10	6	3	6
EF571965.1.1491	5	10	11	9	5	0	4	9	5	10	9	1	4	17	1	21	11	1	1	3	2	1	0	4	0	2	13	13	3	6	1	0	1	2	2	6	14	0	0	0	0	1	5	2	2
GQ377798.1.1238	6	0	0	2	0	0	0	0	0	1	0	0	0	0	1	1	0	1	0	0	1	0	0	0	0	0	1	2	1	0	0	0	1	2	1	1	0	0	0	0	1	2	0	0	0
HQ674105.1.1523	0	0	0	0	0	1	2	0	0	0	2	0	0	0	0	0	0	7	0	3	3	2	1	0	3	1	0	0	4	0	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0
HQ672335.1.1435	0	1	0	0	1	1	3	1	4	2	1	0	5	1	3	1	3	1	5	4	1	5	5	0	3	0	2	1	1	2	3	1	1	0	1	4	1	28	40	52	1	1	1	1	2
EU802404.1.1436	4	2	4	6	3	11	5	7	4	2	2	1	1	1	5	2	2	5	2	5	5	6	5	5	2	8	6	9	4	9	3	1	4	2	11	23	10	1	1	0	3	1	4	5	4
EU802286.1.1499	22	3	11	7	5	2	11	2	7	7	10	10	6	9	12	12	13	5	2	1	6	1	4	2	3	7	4	7	7	6	5	0	0	2	8	10	1	0	0	0	1	5	9	9	6
EU803170.1.1451	3	1	8	4	6	9	4	5	7	3	3	12	0	8	15	11	14	7	0	3	12	5	4	2	2	19	9	10	5	2	0	0	2	5	8	10	6	0	0	0	2	0	1	9	7
EF574674.1.1443	5	0	2	5	6	5	6	38	7	4	2	1	3	2	4	1	0	7	8	13	25	15	16	6	8	1	5	11	6	10	5	10	92	34	4	27	6	36	1	0	0	0	2	5	5
HQ674511.1.1435	0	0	0	1	0	0	0	0	1	0	2	0	0	0	0	0	0	4	1	2	0	2	2	1	1	0	0	1	1	3	2	0	6	4	0	0	1	0	0	0	0	0	0	0	0
JQ226349.1.1312	6	2	7	7	5	0	6	20	4	6	15	0	3	6	3	1	0	3	1	0	2	8	11	34	16	3	3	6	2	2	5	4	1	20	0	0	1	5	0	0	0	0	0	2	0
FJ615178.1.1439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EU650238.1.1337	0	3	2	2	0	1	3	3	4	10	2	1	0	2	2	4	1	25	9	5	2	11	2	4	4	2	6	3	6	11	2	3	1	3	0	0	0	3	0	0	0	0	0	0	0
EU799834.1.1421	5	16	7	14	7	0	0	0	1	1	1	0	19	7	1	9	10	0	15	2	2	1	2	9	11	0	2	3	1	5	19	20	2	0	0	0	4	1	0	0	31	7	0	4	1
AY726833.1.1216	0	4	2	2	1	0	1	5	3	3	0	0	1	1	1	6	6	4	0	1	1	7	2	0	0	1	7	2	2	4	0	0	4	3	0	2	0	0	0	0	5	0	0	0	0
GQ350128.1.1378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	4	0	0	0	0	0	14	40	1	0	0	0	0	15	0	2	0	0	0	0	0
EU802504.1.1452	4	4	4	0	5	11	1	3	4	3	3	7	2	5	8	1	4	14	1	5	12	5	3	5	6	6	7	6	5	6	4	0	7	6	7	10	4	0	0	0	0	3	8	14	13
EF572217.1.1486	2	2	4	3	3	19	4	4	7	15	5	4	0	1	10	2	1	9	1	3	11	10	10	6	1	5	5	5	9	14	6	0	2	3	4	7	5	0	0	0	0	3	5	6	6
HQ673115.1.1376	3	1	6	0	4	7	3	1	0	1	4	5	1	1	3	1	1	7	5	0	6	2	5	6	3	6	8	6	7	3	2	2	5	1	6	7	6	0	0	0	1	1	7	7	6
AY907769.1.1521	0	0	0	0	0	6	0	1	0	0	2	0	0	0	0	0	0	5	0	5	2	0	0	0	0	3	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
EU802997.1.1449	6	5	20	8	1	3	8	0	6	3	11	1	9	12	4	1	6	8	7	3	9	4	6	3	5	6	4	6	15	3	6	0	6	3	9	3	3	3	1	0	3	0	2	1	2
DQ009139.1.2091	2	7	4	5	2	7	0	1	3	2	6	7	29	2	1	0	0	0	1	1	1	4	22	17	21	3	0	1	4	1	13	0	5	3	3	3	3	2	0	0	8	7	9	5	10
HQ673984.1.1259	0	0	0	1	0	3	0	0	0	1	2	2	1	1	1	0	0	1	3	2	0	7	2	1	6	0	2	2	0	1	0	1	0	2	1	1	0	0	1	1	0	4	1	2	1
JN874316.1.1443	1	8	11	17	3	1	5	1	14	24	11	0	5	7	1	0	1	4	0	2	1	2	5	0	7	2	5	4	2	1	0	2	31	16	0	1	1	0	0	0	21	9	0	0	0
FJ150820.1.1353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HQ673821.1.1249	0	0	0	3	0	0	0	0	0	0	1	0	1	1	2	1	0	6	2	11	6	7	5	0	2	0	0	0	5	3	6	0	4	3	0	0	0	0	0	0	0	2	0	0	0
EF572512.1.1486	3	8	8	14	4	7	7	14	2	2	16	11	1	9	2	11	13	4	2	7	10	10	4	2	4	4	7	9	7	8	7	1	3	4	15	8	6	1	3	0	0	2	5	3	5
EF061430.1.1450	5	0	0	3	0	0	0	0	1	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	10	8	1	2	0	0	1	0	1	2	0	0	1
DQ396007.1.1499	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EF572073.1.1441	14	8	13	11	6	2	4	8	9	6	11	3	1	7	5	16	7	9	1	2	6	8	2	6	4	4	9	6	4	6	3	3	4	5	3	2	5	0	0	0	1	4	0	1	1
EU803000.1.1308	4	7	8	3	4	3	4	6	6	7	3	5	8	11	11	8	7	3	1	2	1	6	8	4	6	3	6	3	6	3	5	1	5	2	6	2	5	0	1	0	5	7	5	1	5
AB193958.1.1441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GU234872.1.1374	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	7	6	1	0	0	0	0	18	8	66	0	0	0	0	0
EU802859.1.1456	10	13	9	16	10	1	14	7	18	12	8	1	6	12	3	1	1	5	8	9	14	14	10	6	5	1	4	1	8	9	14	0	8	4	4	0	2	0	0	0	0	3	0	0	0
EF645948.1.1485	16	4	2	6	5	5	4	5	1	2	5	0	15	2	8	10	3	2	12	0	5	8	6	14	9	2	11	4	5	5	10	20	0	2	4	0	7	13	3	0	16	5	0	3	8
EU802511.1.1239	6	5	5	4	7	4	6	7	5	7	6	11	4	6	5	8	9	7	3	4	5	1	7	4	2	5	4	10	8	8	7	0	2	4	6	11	4	1	2	0	2	4	2	1	3
HQ671887.1.1246	5	7	4	7	3	1	10	2	4	4	3	6	3	6	3	4	2	1	4	2	3	0	3	7	2	3	4	3	6	4	5	4	1	2	3	3	5	4	15	14	0	7	7	4	4
AY534099.1.1476	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	15	12	8	2	5	1	4	0	0	0	0	5	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
HQ672861.1.1522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
EF575015.1.1520	4	0	0	0	0	9	0	0	0	0	0	12	3	0	4	2	0	0	0	0	0	0	1	42	0	1	1	7	0	0	0	25	0	0	0	2	1	0	1	0	0	0	60	46	10
HQ529817.1.915	0	3	3	1	0	0	2	0	2	6	4	0	0	2	2	1	5	34	2	15	6	18	2	6	2	4	5	3	7	20	3	0	4	6	0	0	0	0	0	0	0	0	0	0	0
HQ672584.1.1445	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	1	3	2	4	7	4	1	2	2	0	0	1	1	2	0	0	3	3	0	0	0	0	0	0	0	1	0	0	0
EF572962.1.1462	1	2	3	2	2	6	3	4	1	2	4	9	0	2	6	12	4	7	2	5	9	4	1	2	1	11	3	16	4	5	1	0	2	2	6	7	2	0	0	0	0	2	1	0	4
FJ999613.1.1344	0	12	22	7	2	0	2	4	6	5	4	0	8	4	0	5	26	6	6	0	2	4	3	2	14	3	15	6	1	1	0	2	15	6	1	4	4	0	0	0	19	3	0	0	0
HQ672013.1.1445	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2	56	9	7	17	20	18	9	0	9	1	4	5	15	65	69	0	0	0	1	83	0	0	0	0	0	0	0
EU802401.1.1448	11	6	3	2	8	5	4	7	0	1	4	9	2	6	3	9	3	1	1	1	1	2	6	6	3	11	9	7	2	6	4	2	1	3	6	3	3	0	0	0	12	14	1	1	6
FR684885.1.1494	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	43	157	84	0	0	0	0	0
EU919854.1.1457	6	10	10	5	17	0	9	2	15	7	1	0	8	11	6	6	3	0	17	2	1	4	6	11	17	4	3	0	1	0	20	14	5	6	1	0	0	7	0	1	16	5	0	0	0
EU800167.1.1396	9	10	2	4	12	5	6	7	7	7	3	6	4	4	5	7	6	3	1	1	2	1	5	7	2	7	10	6	1	6	2	0	3	5	5	3	5	0	0	0	2	6	2	1	5
EU802562.1.1451	3	8	4	7	10	3	2	7	1	9	3	7	13	3	7	6	4	1	1	2	2	4	2	12	4	4	8	7	4	3	4	2	5	6	1	6	7	0	0	0	1	5	4	1	1
EU802338.1.1516	9	4	3	9	8	4	3	3	6	3	3	2	0	6	6	2	1	6	3	14	6	11	11	5	6	2	2	1	4	7	7	0	3	10	3	7	2	0	0	0	0	8	7	6	5
EU802713.1.1255	5	9	5	5	8	6	5	4	0	6	7	0	1	5	3	10	11	7	2	7	7	2	4	7	3	2	5	12	12	6	2	1	1	1	2	5	7	1	0	0	3	6	0	0	1
HQ672048.1.1451	0	4	8	2	0	0	1	2	0	1	2	0	10	2	0	4	10	7	17	2	3	21	15	5	17	1	9	4	4	4	8	4	24	0	0	1	5	0	0	0	68	2	0	0	0
KC001541.1.1311	8	2	19	7	10	8	7	1	1	11	5	12	1	10	5	20	4	7	3	4	5	4	3	5	1	1	4	9	4	4	1	0	3	1	1	6	6	0	0	0	0	2	3	8	4
GQ337118.1.1471	2	2	1	0	1	6	9	5	3	6	3	2	0	3	4	2	3	9	3	12	10	7	6	5	1	1	7	8	5	6	1	0	2	4	4	6	3	0	0	0	0	1	2	1	5
FR684049.1.1494	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	109	129	0	0	0	0	0
AACY020403290.735.2190	1	1	1	1	1	0	0	0	1	1	2	0	0	0	0	0	2	5	6	5	10	3	4	1	1	3	0	3	0	3	2	0	4	5	2	1	3	0	0	0	0	0	0	0	0
