	TARA_149_MES_0.8_3.0	TARA_148_MES_0.8_3.0	TARA_138_MES_0.8_3.0	TARA_142_MES_0.8_3.0	TARA_137_MES_0.8_3.0	TARA_144_MES_0.8_3.0	TARA_097_MES_0.8_3.0	TARA_109_MES_0.8_3.0	TARA_110_MES_0.8_3.0	TARA_131_MES_0.8_3.0	TARA_112_MES_0.8_3.0	TARA_146_MES_0.8_3.0	TARA_098_MES_0.8_3.0	TARA_132_MES_0.8_3.0	TARA_078_MES_0.8_3.0
GQ348473.1.1392	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0
KT382444.1.1403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
EF597693.1.904	7	2	2	6	5	3	1	2	0	1	0	5	5	4	2
DQ070799.1.1434	0	0	3	0	0	0	0	0	0	0	0	0	1	1	1
CEOQ01037678.1.1364	0	6	0	0	1	3	4	1	1	0	0	2	1	0	0
KF616639.1.1447	0	1	1	0	0	0	0	2	0	0	0	0	0	0	0
HQ674478.1.1448	4	15	9	5	15	7	13	0	1	3	1	8	7	4	0
AB974068.1.1440	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
JQ977221.1.1438	0	0	6	1	1	2	0	0	0	2	2	0	0	0	0
EU236344.1.1401	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
HQ672002.1.1448	0	1	0	1	0	3	0	0	1	0	0	2	0	2	2
HQ674392.1.1465	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
GQ389082.1.1461	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
JX945339.1.1492	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0
GBSO01019834.117.1630	0	0	0	1	0	0	0	0	0	2	0	0	0	0	1
DQ396255.1.1460	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
GQ009569.1.1356	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
AF406524.1.1387	1	4	0	0	0	4	11	0	1	0	0	1	4	0	3
HQ673388.1.1248	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
FN691659.1.915	3	6	0	3	0	0	1	1	1	0	0	2	3	1	0
CU914949.2.1383	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
JQ426200.1.1483	0	1	0	0	0	0	0	0	1	1	0	0	0	2	0
HE604085.1.1522	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
HM557603.1.1384	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
HQ153888.1.1406	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0
JX105530.1.1418	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
HQ673536.1.1466	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
HQ671810.1.1467	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0
GQ246673.1.1422	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0
GABT01019963.848.2718	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEWJ01036173.2769.4258	0	0	12	7	0	0	2	1	1	0	0	0	0	2	0
AB250557.1.1480	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
EU672847.1.1492	0	0	0	0	0	0	0	0	1	0	0	0	1	4	0
JN178732.1.1419	2	0	1	1	1	0	0	0	0	0	0	0	0	1	1
EF125460.1.1450	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
EU236371.1.1344	1	0	0	1	0	0	0	2	0	0	0	0	0	2	0
AACY020430088.197.1720	0	4	0	0	2	6	0	0	1	0	0	1	1	0	0
LAZR01029990.1.1382	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
AY662037.1.1532	0	0	2	5	3	0	0	0	0	4	0	0	0	0	0
GU940855.1.1403	0	2	27	13	10	4	2	5	3	3	27	3	0	56	10
JN874222.1.1511	1	0	2	0	8	0	0	2	6	0	0	0	0	0	1
HM799100.1.1392	0	1	0	3	2	0	0	3	6	0	2	1	0	1	1
AY726924.1.1229	1	1	1	0	1	1	2	0	0	0	0	2	0	0	0
HQ163443.1.1344	3	0	0	0	0	1	0	0	0	0	0	1	0	0	1
KF227616.1.1341	1	0	3	1	0	0	0	0	3	0	0	1	0	1	1
EF076072.1.1516	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
GU362986.1.1413	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
HQ153914.1.1359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
HM126739.1.1388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
HQ397070.1.1496	4	0	13	4	11	1	6	8	1	4	11	0	1	9	6
KJ877722.1.1448	0	0	0	0	0	0	0	0	0	7	0	0	0	3	0
AB807152.1.1501	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
HQ672568.1.1430	0	0	3	0	3	1	2	1	1	0	0	0	0	0	0
JX227234.1.1452	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
JQ195426.1.1355	0	0	1	1	0	1	0	0	0	0	0	1	0	0	0
FN546860.1.1411	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
AM259924.1.1471	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FM872874.1.1470	0	0	0	1	0	0	0	0	0	4	0	0	0	0	1
HQ672439.1.1436	13	18	0	4	2	15	8	1	0	2	0	10	3	4	2
JF697564.1.1440	2	0	0	0	0	3	0	0	0	3	1	0	0	0	0
AF114508.1.1493	0	1	0	2	0	0	1	0	0	0	1	1	0	0	2
JQ347302.1.1424	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
DQ269105.1.1408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
HM448810.1.1437	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0
GU451398.1.1226	2	2	0	8	0	7	0	5	3	12	2	3	0	2	1
GQ340161.1.1347	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
FR683752.1.1425	0	0	3	0	0	1	0	0	2	0	0	0	0	0	0
JF727669.1.1502	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
GU451608.1.1212	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0
JN055354.1.1396	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
KJ475504.1.1466	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
FR685201.1.1462	0	0	0	0	0	1	3	0	1	2	1	3	1	0	2
HE985131.1.1430	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
KM019040.1.1517	0	0	7	0	5	0	0	0	0	0	0	0	0	0	0
FR720613.1.1414	0	0	0	0	2	0	0	1	0	0	0	1	0	0	0
FM242462.1.1505	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
FJ873260.1.1403	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
JQ256805.1.1427	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AM935107.1.1331	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HQ673071.1.1436	12	10	6	2	11	7	8	1	2	4	4	10	10	3	7
GQ900591.1.1448	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
JX227409.1.1490	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
HQ673197.1.1478	7	9	0	5	4	3	11	4	3	2	2	8	6	7	7
HQ258887.1.1361	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
JN881614.1.1347	1	1	1	0	0	0	0	1	0	0	0	1	0	0	0
HQ671952.1.1449	1	0	0	0	0	0	1	8	2	0	1	0	1	1	3
AB847984.1.1375	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2
FR683129.1.1486	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
GU061672.1.1465	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
FJ950593.1.1472	7	3	4	23	4	2	0	20	2	2	1	0	3	2	11
AB073564.1.1396	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
HQ674046.1.1511	2	0	1	0	2	0	0	0	1	1	0	1	3	2	0
JN428738.1.1384	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0
FM244839.1.1474	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
HG966617.2636555.2638022	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1
FJ203077.1.1422	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EU478623.1.2372	0	0	6	0	7	0	0	2	4	0	2	0	2	1	3
AJ567585.1.1491	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
HQ326292.1.1412	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
JQ347358.1.1482	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
AB746951.1.1438	5	5	3	2	36	0	44	90	33	104	17	12	4	13	4
GU454879.1.1495	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
AB694422.1.1430	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
FJ665219.1.1487	1	0	0	1	0	0	0	0	0	0	1	0	2	0	0
KJ589804.1.1479	0	0	3	0	0	1	2	0	0	0	0	0	1	0	2
EF574868.1.1467	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
KC545236.1.1528	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0
JQ222441.1.911	0	1	1	0	1	0	0	0	0	0	3	1	0	1	0
GU118913.1.1394	1	1	3	0	5	8	7	15	6	2	8	1	18	2	1
FN822165.1.1353	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
EU287157.1.1486	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
JN517355.1.1272	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
JN432896.1.1281	4	2	0	2	0	1	0	1	0	1	1	0	0	1	1
AB694264.1.1423	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0
GQ869557.1.1473	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0
KM820613.1.1254	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
HQ222267.1.1502	0	1	0	0	1	1	2	0	0	0	0	0	0	0	0
EF573664.1.1475	0	0	0	1	0	0	1	0	0	1	9	0	0	0	0
GU567970.11037.12406	4	2	0	3	1	6	7	1	2	0	3	4	7	4	0
AB974042.1.1430	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
HQ529887.1.906	1	8	1	0	0	0	5	0	0	0	0	0	2	0	0
HG423535.1.1427	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
JU112734.9.1443	0	0	0	15	1	0	0	0	0	0	0	0	0	0	0
HQ673722.1.1451	1	1	0	0	0	0	1	0	1	1	0	3	0	1	0
FJ900568.1.1456	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
GQ340252.1.1372	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0
AB096085.1.1517	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
HQ673492.1.1502	3	3	0	2	3	1	6	1	0	5	2	2	6	4	0
GU935363.1.1634	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
GQ346856.1.1395	1	0	4	1	9	1	1	1	6	0	0	4	0	0	0
EU050773.1.1422	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
AB694431.1.1375	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
JX441433.1.1514	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3
AY697875.1.1469	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
HE661586.1.1427	5	7	15	2	9	2	5	26	12	7	9	2	41	1	7
KJ589717.1.1477	0	0	1	0	0	0	0	4	1	0	1	1	0	1	0
CENN01057158.5871.7377	1	2	0	0	0	0	0	0	3	2	0	1	0	2	0
JQ196110.1.1356	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
JX240983.1.1424	2	2	0	2	0	9	0	1	0	0	1	4	0	0	0
KC683060.1.1482	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EU735003.1.1493	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
HE589864.1.1408	0	1	3	23	0	0	0	3	0	0	0	0	0	0	0
HQ118613.1.1504	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
HQ395156.1.1498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
CEUP01007321.1.1357	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
JX047121.1.1460	0	0	0	17	2	0	0	0	0	3	0	0	0	2	0
KC682639.1.1516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
GQ337239.1.1435	16	8	1	2	4	3	6	2	4	3	2	11	11	3	3
EF573474.1.1438	0	0	0	1	2	0	1	0	0	0	0	1	0	0	0
GU061946.1.1432	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
JACT01000001.245.1735	0	0	3	5	5	2	0	0	0	0	0	3	0	0	2
AJ244655.1.1386	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
GQ348482.1.1343	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JHWF01000006.1965.3490	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
JF266034.1.1310	2	1	0	0	0	1	0	0	0	0	0	1	0	0	0
FN667523.1.1469	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0
FJ893995.1.1363	9	1	38	6	10	7	6	39	25	16	33	3	66	11	46
FR684516.1.1440	0	0	0	0	0	0	1	0	0	0	1	2	0	1	0
GQ092675.1.1355	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
CP010869.2648592.2650061	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0
HQ673612.1.1520	0	0	0	0	3	0	0	1	1	1	0	1	0	0	0
HQ674446.1.1499	0	0	0	0	1	0	1	0	0	0	0	0	3	4	1
GQ337109.1.1436	115	89	26	27	36	46	68	5	21	26	23	129	69	63	56
DQ289897.1.1381	0	0	0	0	0	2	2	0	0	0	2	1	3	0	0
KF760530.1.1211	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1
JF769676.1.1526	0	0	3	0	0	0	3	3	0	0	7	0	0	0	4
HQ673726.1.1522	0	0	1	0	0	0	4	0	1	0	0	0	1	0	0
GQ346922.1.1389	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0
GQ379665.1.1208	0	0	8	7	1	0	0	0	0	2	0	0	1	0	1
HM598258.1.1490	1	0	2	0	0	0	3	0	0	0	2	1	1	0	0
GQ329845.1.1306	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
GU447290.1.1439	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1
GU593640.1.1420	2	0	0	0	0	1	1	3	0	4	1	0	3	0	0
HQ672405.1.1502	8	19	0	6	2	24	9	3	2	0	0	8	5	2	0
KM356733.1.1458	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
JX136976.1.1356	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
JF769630.1.1521	0	3	0	1	1	0	0	0	2	0	6	1	8	4	1
AY162116.1.1386	0	0	7	1	11	0	0	1	0	2	1	0	0	8	2
FM873933.1.1469	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
JN874233.1.1470	1	0	0	1	0	0	0	0	0	0	1	1	1	0	0
JQ220882.1.916	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0
KJ958484.67215.68703	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
GQ140338.1.1486	0	0	1	6	0	0	1	0	2	0	0	0	1	0	0
HJ971778.2.1216	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0
HQ674065.1.1483	1	1	0	0	0	0	5	0	1	0	0	1	0	2	0
DQ513027.1.1517	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0
LN561683.1.1329	0	0	1	0	0	0	0	0	5	0	0	0	0	0	1
GQ263370.1.1440	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
FR872582.370012.371557	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
AF468248.1.1406	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
HF558640.1.1488	3	7	1	2	0	5	0	0	1	0	3	5	0	0	0
KJ589763.1.1439	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
HM447831.1.1500	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
GU072591.1.1397	0	0	1	3	0	0	0	0	3	0	0	0	1	0	0
JX226969.1.1517	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
GQ441355.1.1443	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
JQ428710.1.1498	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
HQ672671.1.1502	1	0	0	0	0	0	7	0	0	0	1	2	1	1	4
KM820569.1.1441	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0
HQ673788.1.1405	5	0	0	2	3	2	2	1	0	0	0	4	3	1	1
HQ673917.1.1512	0	0	25	0	37	0	0	4	4	0	0	3	1	0	0
JQ898118.1.1419	0	0	3	0	0	0	0	0	1	2	0	0	0	1	0
HQ395140.1.1504	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
HM558992.1.1366	4	0	1	6	1	10	1	0	0	63	0	3	0	18	3
HQ721454.1.1432	1	1	0	0	0	0	0	5	0	1	0	2	1	1	0
JN717168.1.1441	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0
JX878991.1.1406	9	10	1	1	2	4	10	0	3	5	1	14	5	5	4
GQ358839.1.1483	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0
JN825622.1.1397	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
AB176120.1.1475	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
HF912444.1.1489	0	0	0	1	0	0	2	1	0	0	0	1	5	0	1
EF674852.1.1479	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
HQ270349.1.1434	2	0	0	0	0	2	1	1	0	0	1	0	1	0	0
FN995238.1.1426	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
KF286175.1.1353	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
GQ005170.1.1341	1	0	0	0	0	0	0	2	0	0	1	0	0	2	3
GQ264283.1.1448	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CP001998.1561363.1562904	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0
FN668214.1.1474	0	0	0	1	0	0	0	0	0	0	1	0	1	2	0
GU452538.1.1507	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
KJ589753.1.1429	0	2	3	0	1	2	0	1	0	1	0	1	0	2	0
HE818072.1.1416	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
HM103738.1.947	12	9	4	6	8	6	5	6	2	1	1	13	4	4	2
FR682707.1.1439	0	1	2	3	0	2	0	0	0	1	0	1	0	0	0
JF421134.1.1519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
JN119258.1.1411	0	0	1	0	0	0	0	13	5	0	0	1	0	1	6
GQ347003.1.1383	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0
KC432290.1.1322	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
CETM01112361.2142.3646	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
AB681172.1.1449	2	2	1	2	2	4	0	1	0	0	1	1	0	0	5
KF733618.1.1475	0	0	1	1	1	0	2	0	0	0	0	0	1	1	1
HQ692003.1.1351	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
HQ216344.1.1244	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
GU940673.1.1333	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
JQ220570.1.915	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
LAZR01000002.1.1271	0	0	0	0	0	0	1	0	0	0	0	0	2	1	0
FR683232.1.1453	14	18	4	9	7	2	10	0	2	6	2	12	9	8	15
FR744828.1.1432	1	3	2	7	0	11	0	0	2	2	1	0	0	3	0
JX948712.1.1480	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
HQ190517.1.1493	2	0	0	1	0	0	2	2	0	0	0	0	1	0	0
JQ062702.1.1447	0	0	0	0	0	0	1	2	2	0	0	0	0	0	0
GQ377828.1.1263	1	16	1	1	0	1	20	5	8	0	0	0	0	1	0
JX227617.1.1570	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
GQ076362.1.1360	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
GU145508.1.1474	0	1	6	0	5	1	0	1	0	0	0	0	0	1	1
KJ754675.1.1375	2	3	0	8	0	1	0	0	0	1	0	3	0	4	0
HQ638977.1.1400	109	101	14	57	1	185	3	18	19	10	91	94	1	6	15
AY922220.1.1392	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
HQ225334.1.1498	2	0	10	3	12	1	7	4	4	2	10	0	4	11	3
JN468780.1.1243	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
JN441874.1.1329	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
GQ263737.1.1483	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
JN645871.1.1386	0	0	0	0	0	0	0	0	0	0	2	0	4	0	0
FJ950553.1.1479	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1
