	TARA_100_DCM_0.22_3.0	TARA_102_DCM_0.22_3.0	TARA_109_DCM_0.22_3.0	TARA_110_DCM_0.22_3.0	TARA_111_DCM_0.22_3.0	TARA_112_DCM_0.22_3.0	TARA_122_DCM_0.22_3.0	TARA_128_DCM_0.22_3.0	TARA_132_DCM_0.22_3.0	TARA_133_DCM_0.22_3.0	TARA_137_DCM_0.22_3.0	TARA_138_DCM_0.22_3.0	TARA_142_DCM_0.22_3.0	TARA_150_DCM_0.22_3.0	TARA_151_DCM_0.22_3.0	TARA_058_DCM_0.22_3.0	TARA_064_DCM_0.22_3.0	TARA_065_DCM_0.22_3.0	TARA_066_DCM_0.22_3.0	TARA_068_DCM_0.22_3.0	TARA_072_DCM_0.22_3.0	TARA_076_DCM_0.22_3.0	TARA_078_DCM_0.22_3.0	TARA_082_DCM_0.22_3.0	TARA_085_DCM_0.22_3.0	TARA_093_DCM_0.22_3.0	TARA_098_DCM_0.22_3.0
FJ615179.1.1440	0	0	0	0	0	0	0	0	1	1	12	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
FJ825868.1.1491	0	4	2	0	0	0	0	2	0	1	0	0	1	0	0	2	1	0	0	1	0	0	1	0	0	17	0
FR683488.1.1496	0	0	1	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	1	23	0	0
JQ062722.1.1500	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	2	0	0	5	0	0	0	0	0	0	0
JQ222402.1.914	1	0	0	0	0	0	1	0	8	0	1	2	0	0	2	0	0	0	0	2	1	2	5	0	0	0	1
DQ156418.1.1003	2	1	2	2	1	1	2	2	2	0	0	0	5	0	3	0	2	3	2	1	2	5	1	1	0	0	3
FR683114.1.1498	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	23	0	0
GQ337321.1.1520	0	0	0	0	0	0	2	0	1	0	1	4	0	0	1	0	0	2	0	1	1	0	1	0	0	0	0
EF575303.1.1453	0	0	0	0	0	1	0	0	0	3	0	0	1	1	0	3	1	0	1	2	0	0	1	8	0	0	0
GU108554.1.1400	0	0	0	0	0	0	5	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	42	0
EF574495.1.1496	0	1	0	1	1	0	0	3	1	0	0	1	2	0	0	9	2	2	0	0	1	0	0	0	0	0	0
JQ269274.1.1482	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	6	2	6	1	0	0	4	3	0	0	0
HQ671846.1.1482	0	0	0	0	0	0	0	0	0	3	0	0	0	2	0	0	0	0	2	1	0	1	0	11	18	0	0
JN166192.1.1464	0	1	0	0	2	2	2	0	0	0	0	1	1	0	0	0	0	2	0	0	2	1	3	0	0	0	3
JN166309.1.1461	0	0	0	0	0	0	0	0	0	0	1	0	0	0	10	0	3	0	1	0	0	4	10	0	0	0	0
GQ348575.1.1324	1	0	0	0	0	3	0	1	1	0	0	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0
HQ673191.1.1521	1	0	3	1	1	3	3	2	1	0	0	2	0	1	7	1	1	0	0	0	4	10	1	0	0	0	2
DQ513074.1.1457	1	0	0	1	1	3	1	4	10	1	0	5	3	0	1	0	0	0	0	1	3	2	3	0	0	0	5
EU799802.1.1483	2	2	2	2	1	0	0	8	1	3	0	1	0	1	1	1	1	1	0	2	0	1	0	0	0	0	0
HM569768.1.1484	0	0	0	0	0	0	0	0	3	0	1	3	2	0	0	0	0	1	0	0	0	4	0	0	0	0	0
GU235152.1.1380	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	30	0	0
EF571994.1.1490	0	0	0	0	0	1	1	3	2	2	0	0	2	1	0	2	0	1	0	1	1	0	1	0	0	1	1
HQ672502.1.1488	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M63811.1.1354	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	3	2	0	0	0	1	0	0	0	0
EU804944.1.1509	1	0	2	1	6	1	0	4	0	0	0	0	0	0	0	0	3	0	0	1	0	0	1	0	0	0	1
JX945376.1.1495	0	2	17	0	0	2	1	1	0	0	0	0	1	4	1	2	0	3	0	4	2	3	2	0	0	0	3
JF421214.1.1484	54	3	1	8	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FJ615156.1.1457	1	0	0	0	1	0	6	0	3	0	1	4	1	2	3	0	1	2	1	1	3	4	4	0	0	0	1
HQ673768.1.1485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	1	0	0	0	0
DQ906730.1.1458	0	1	2	1	3	0	0	0	1	3	1	1	0	1	3	0	0	0	4	1	1	0	1	2	5	0	1
GU235107.1.1402	1	0	0	0	0	0	0	0	1	2	0	0	1	0	2	1	0	0	0	0	0	2	0	14	13	2	0
FJ497490.1.1441	5	2	0	1	0	0	5	4	0	0	1	2	1	0	0	1	0	0	1	0	2	4	0	0	0	0	2
EU802736.1.1269	2	1	1	1	0	0	2	2	2	0	0	0	0	1	3	1	3	2	0	0	0	0	0	0	0	0	0
EU802717.1.1273	0	1	0	0	0	1	4	2	2	1	1	0	3	0	0	0	1	1	0	1	0	0	1	0	0	1	0
HQ672113.1.1451	1	0	0	0	0	0	0	0	0	1	0	1	0	1	4	0	0	0	2	18	0	0	0	12	0	0	0
GQ347996.1.1307	0	0	1	1	0	0	0	1	0	2	0	0	0	0	0	1	0	0	0	1	0	0	0	9	0	1	0
HQ163173.1.1371	1	0	2	0	0	1	1	0	4	0	5	3	2	1	0	0	0	1	1	0	1	2	0	0	0	0	1
AY664169.1.1279	0	7	7	0	1	0	3	3	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EU800697.1.1451	1	2	2	2	0	0	0	1	0	4	0	0	0	0	0	2	0	1	1	0	0	2	0	0	0	2	0
HQ672448.1.1487	0	0	0	0	0	0	0	0	0	2	3	0	0	0	1	0	0	0	2	0	0	0	0	10	2	1	0
HQ256515.1.1366	2	0	0	1	0	0	3	0	2	0	0	0	1	0	0	0	1	0	0	0	0	2	0	0	0	0	1
HQ672037.1.1484	0	0	0	0	0	0	0	0	0	3	8	0	0	0	1	0	0	0	2	0	0	0	1	2	0	2	0
FR684035.1.1485	0	2	1	0	1	0	0	0	0	8	0	0	0	2	1	1	0	1	4	0	0	0	1	1	4	6	0
AF382132.1.1496	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
EF573992.1.1439	0	0	7	1	0	1	0	5	1	2	0	2	0	0	0	0	0	1	0	0	4	1	1	0	0	0	0
HQ673356.1.1477	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	1	2	0	0
JQ226602.1.1297	0	0	2	2	0	0	0	3	1	0	0	1	0	1	4	0	0	2	2	0	0	0	3	0	0	0	0
EU802933.1.1448	2	4	0	4	4	2	1	0	0	0	0	2	1	3	3	0	0	0	1	1	2	2	3	0	0	0	4
JN868916.1.1479	0	0	8	1	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GQ921360.1.1497	5	0	0	1	0	0	3	0	2	0	1	0	1	0	0	0	0	2	0	0	1	10	0	1	0	5	1
EF574288.1.1436	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	1	0	1	0	9	8	0	0
DQ396294.1.1513	0	0	0	0	0	0	0	0	0	1	3	0	1	0	1	0	2	2	0	0	0	0	0	0	0	0	0
EU804334.1.1505	1	1	4	0	0	0	0	7	1	0	0	0	0	0	0	3	0	0	0	0	1	1	0	0	0	0	2
EU795230.19888.21427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
EU703213.1.1346	1	2	1	2	0	0	1	1	1	2	2	1	1	1	1	1	0	1	0	2	2	2	0	0	0	2	2
HQ696525.1.1456	8	1	1	2	0	0	0	2	0	0	0	1	0	0	0	2	0	1	0	0	2	4	1	1	0	0	0
GU086202.1.1390	3	0	0	0	0	0	1	11	0	1	0	0	2	11	0	0	3	0	0	0	8	4	2	0	0	0	0
JX436391.1.1275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0
EU802378.1.1463	3	1	0	2	2	0	2	2	3	1	2	2	1	2	1	1	2	0	1	1	3	2	1	0	0	0	1
AB199885.1.1217	1	0	0	0	1	2	2	0	0	0	0	2	2	1	0	0	3	0	1	8	0	0	0	4	0	0	0
FR683303.1.1471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	11	0	0
GQ337165.1.1513	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
HQ673282.1.1505	0	0	0	0	0	0	0	1	3	0	2	0	1	0	4	1	1	0	0	0	1	0	2	0	0	0	1
FR683841.1.1445	1	4	0	1	0	0	0	0	1	4	0	0	0	1	0	0	0	0	1	1	0	0	1	3	3	1	0
HQ672439.1.1436	0	0	0	1	0	1	0	0	1	0	1	1	1	1	2	0	0	1	0	0	3	1	1	0	0	0	2
ABEF01053184.222.1720	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FR684182.1.1481	0	3	1	0	1	0	0	1	0	3	0	0	2	0	0	0	0	1	0	0	1	0	2	0	0	5	0
FJ545540.1.1519	0	0	1	0	1	0	1	1	0	4	0	0	0	6	2	2	0	1	0	3	0	0	2	0	0	0	0
AFNV01000049.76889.78424	0	0	2	1	2	2	0	2	1	0	1	0	6	0	0	0	0	1	0	0	0	2	0	0	0	0	0
DQ520891.1.1418	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0
EF573867.1.1520	0	0	0	0	0	0	0	2	0	1	0	0	0	5	1	10	0	0	0	0	0	0	0	0	0	0	0
EU800254.1.1500	1	0	1	2	0	0	0	0	0	3	0	2	0	0	7	0	1	0	5	3	0	0	1	2	1	2	0
EF573721.1.1479	1	1	2	1	0	0	0	1	0	0	0	0	1	1	0	2	1	1	0	0	0	0	0	0	0	0	0
FJ456919.1.1410	1	1	0	1	3	4	2	1	2	0	6	0	0	0	0	1	0	0	0	1	0	5	0	0	0	0	6
FR683284.1.1483	1	1	1	0	1	0	0	2	0	5	0	0	0	0	3	0	1	1	2	2	0	0	1	5	2	1	0
GU235669.1.1366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	31	0	0
HQ242304.1.1424	1	2	0	2	1	3	1	0	1	1	0	3	1	1	2	0	0	0	1	1	1	0	2	6	0	1	1
HQ673031.1.1480	0	0	0	0	0	0	0	0	0	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GQ348037.1.1385	0	1	0	0	0	0	0	0	0	1	2	0	0	0	1	0	0	0	4	0	0	1	0	0	1	0	0
AF257277.1.1402	0	0	0	3	0	0	1	1	6	0	0	8	1	5	1	0	0	0	0	2	3	1	5	0	0	0	2
HQ242389.1.1489	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	10	11	0	0
AF354605.1.1494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	33	0	0
HQ673072.1.1463	0	0	0	0	0	0	0	0	4	0	1	0	0	0	2	0	0	0	0	0	1	0	0	0	3	0	1
HQ673729.1.1504	0	0	0	0	0	0	0	0	0	1	3	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
FJ644612.1.1278	3	1	7	2	1	0	2	2	1	3	0	1	0	1	0	1	0	0	0	1	0	0	1	2	0	1	0
GU235656.1.1370	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0
GQ351238.1.1516	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
JN832928.1.1388	0	1	0	1	0	1	0	1	2	7	0	0	0	1	0	1	1	0	2	0	1	0	3	1	0	2	0
U75649.1.1471	1	1	2	0	3	2	0	3	1	0	1	3	0	4	1	1	2	1	1	2	2	0	4	0	0	0	4
HQ673190.1.1521	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FJ745204.1.1322	1	0	0	0	0	1	0	0	1	2	0	0	0	1	0	0	0	0	2	0	0	1	0	17	0	5	0
HQ242629.1.1447	0	0	0	0	3	1	1	1	1	4	1	2	0	0	0	2	1	3	5	0	1	2	0	1	1	1	2
KC003147.1.1338	1	0	0	2	1	0	1	2	0	3	0	0	0	0	3	1	0	0	0	0	1	0	1	0	0	0	0
EU805102.1.1251	1	2	0	0	0	2	3	3	1	1	2	0	0	0	1	2	0	1	2	0	0	1	0	0	0	0	6
HQ674279.1.1515	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
HQ673456.1.1498	1	0	0	0	0	0	0	0	0	0	5	2	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0
FR685489.1.1493	1	3	1	0	0	0	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	1	0	3	3	0	0
HQ673150.1.1516	0	0	0	0	0	0	3	0	1	0	3	1	0	0	0	0	0	0	0	0	1	2	0	0	0	0	2
EU005678.1.1414	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
HQ673633.1.1513	0	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JQ269287.1.1461	0	0	0	1	0	0	0	0	0	0	0	5	0	4	1	0	0	6	3	0	0	0	1	0	0	0	0
EU802856.1.1442	1	3	1	1	1	2	0	2	1	1	0	0	0	1	2	2	1	2	0	0	1	0	2	0	0	1	2
FJ826052.1.1446	1	0	0	1	0	0	0	0	1	0	0	2	0	1	0	0	0	0	1	1	0	0	1	2	0	3	0
HQ672180.1.1442	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	2	1	1	2	0	2	0	6	24	0	0
AY726976.1.1225	0	0	0	0	1	0	0	0	2	0	3	0	1	1	0	0	0	1	0	0	1	2	0	0	0	0	0
KC253366.1.1449	0	1	0	0	0	1	5	0	2	0	20	4	0	0	1	1	0	0	0	0	5	7	2	0	0	0	2
EU799756.1.1495	2	2	2	2	2	2	2	0	0	3	0	0	0	0	2	2	0	0	1	0	0	1	1	1	0	3	2
FR685127.1.1428	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	18	12	0	0
HQ672727.1.1522	0	0	1	0	0	0	0	1	6	1	0	3	2	1	0	0	0	0	2	1	1	2	0	0	0	0	1
DQ396337.1.1556	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	8	0	0	0	0	37	4	0	0
HQ673025.1.1502	0	0	0	0	0	0	0	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
GU145516.1.1512	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF114502.1.1530	2	0	0	5	0	0	1	2	0	0	0	0	0	10	0	0	0	0	0	1	0	3	1	0	0	0	0
EU800279.1.1445	0	0	0	1	0	0	0	0	1	2	0	0	0	0	0	0	1	0	2	1	0	0	2	2	0	0	0
JX015824.1.1476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0
HQ673479.1.1511	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HQ674170.1.1504	2	4	1	0	8	1	0	1	1	9	1	0	0	0	1	1	1	4	0	2	2	1	2	0	0	0	2
JX879059.1.1438	0	0	0	0	2	2	1	0	3	0	0	2	0	1	2	0	0	0	1	0	0	2	2	0	0	0	1
DQ396175.1.1496	0	0	0	1	1	0	1	0	1	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
HQ672250.1.1447	2	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1
HQ672762.1.1518	0	0	0	0	0	0	1	0	0	1	0	0	0	0	6	0	1	0	0	1	0	1	5	0	0	0	0
JN233074.1.1420	0	1	0	0	1	1	6	2	0	1	0	2	1	0	2	0	5	5	2	2	1	1	4	0	0	2	2
ABEF01052835.1435.2889	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
FJ744812.1.1370	2	4	2	2	2	0	0	0	3	2	0	2	0	0	3	1	1	1	5	4	0	0	2	0	0	1	0
JN591877.1.1479	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	23	2	8	0
KC002946.1.1319	1	2	3	1	0	0	0	6	0	1	0	1	0	1	1	1	3	0	1	0	0	0	0	0	0	1	0
JX559242.1.1475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	14	0	0
HQ163260.1.1400	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
EF575114.1.1444	0	0	0	1	0	1	0	1	2	2	0	1	0	1	0	0	0	0	2	3	0	1	0	5	0	0	0
GU940758.1.1389	0	0	0	0	1	1	1	2	1	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
FJ826110.1.1441	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	20	2	1	0
JN860335.1.1533	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GQ337099.1.1474	0	0	0	0	0	2	0	0	1	0	0	0	1	0	1	0	0	0	0	0	2	0	0	0	0	0	1
GQ348286.1.1381	0	0	0	0	0	0	0	0	0	5	0	1	0	0	2	0	0	0	1	0	0	0	0	6	5	2	0
HQ672493.1.1476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
HQ673345.1.1528	0	0	0	0	0	0	0	0	0	0	9	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
FJ826181.1.1400	0	0	0	0	0	0	0	0	0	2	3	0	0	0	1	0	0	0	4	0	0	0	0	1	1	0	0
EU802470.1.1316	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	2	2	0	0	0	1
GU940733.1.1337	0	0	0	0	5	5	5	0	2	0	0	2	3	1	1	0	1	1	2	3	2	2	3	0	0	0	4
HQ673079.1.1513	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HQ242138.1.1445	0	0	0	1	0	1	0	1	0	17	0	0	2	0	0	0	0	0	0	4	0	0	2	1	1	0	0
JQ269258.1.1521	0	0	0	1	0	5	0	0	0	0	0	0	2	0	0	7	1	1	0	0	1	3	3	0	0	0	2
DQ396008.1.1483	0	1	0	0	1	0	0	0	0	4	0	0	0	1	1	2	0	0	0	1	0	0	0	2	0	1	0
JQ222974.1.1365	1	0	0	0	0	0	0	0	0	1	0	0	1	2	8	0	0	0	0	0	0	0	0	31	1	0	0
AF245615.1.1415	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	8	1	5	0
HQ163522.1.1373	0	0	0	0	0	0	0	0	0	0	19	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HQ672489.1.1499	0	0	0	0	0	0	0	0	0	1	2	0	0	0	1	0	0	0	2	2	0	0	0	8	13	0	0
AGIG01000028.6547.8065	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0
EU802270.1.1287	1	0	3	3	0	0	0	1	0	0	0	0	2	1	1	1	2	0	0	0	1	0	1	0	0	0	0
EU259790.1.1468	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AJ440215.1.1556	0	0	1	0	0	0	10	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0
FJ494890.1.1458	0	1	0	0	0	0	12	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0
FR684763.1.1496	2	0	3	3	2	1	1	1	0	1	0	0	1	1	1	0	0	0	1	1	0	0	1	1	2	0	0
JF173531.1.1357	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0
EU799386.1.1375	1	0	1	0	0	0	0	1	0	3	0	0	0	0	1	0	2	0	0	0	0	0	0	1	0	1	0
FJ497402.1.1420	1	0	1	2	0	0	4	0	2	0	0	0	0	0	3	1	1	0	0	1	1	1	0	0	0	0	0
JN018921.1.1369	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AY664195.1.1307	4	1	1	0	0	0	8	2	0	0	1	0	2	0	0	0	0	0	0	0	1	2	0	1	0	0	0
GQ337209.1.1448	0	0	0	0	0	0	0	0	2	0	0	1	1	1	1	0	0	0	1	0	1	0	1	0	0	0	0
EU804764.1.1435	0	0	0	0	0	1	3	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
JQ222736.1.1337	0	0	0	0	0	0	0	0	2	0	0	0	4	0	5	0	0	0	2	1	0	0	0	0	0	0	0
HM856564.1.1425	4	5	0	5	7	10	5	2	3	3	0	5	0	0	0	0	1	5	0	3	2	2	0	0	0	0	6
EU800951.1.1447	0	0	1	1	2	1	2	1	0	0	0	1	1	0	0	0	0	2	2	0	1	0	0	0	0	0	0
HQ673164.1.1480	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JN166355.1.1445	1	0	0	0	0	0	1	0	0	0	5	2	2	0	0	0	1	0	0	2	2	1	0	0	0	0	0
EU799111.1.1448	2	4	1	1	3	0	1	1	1	3	0	0	0	1	3	1	0	2	6	1	0	1	0	0	0	1	1
EU799167.1.1472	0	0	1	1	1	0	0	0	0	5	0	0	0	1	0	1	1	0	1	0	0	0	0	0	0	2	0
DQ337006.1.1494	0	0	0	2	0	1	0	0	1	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
DQ396129.1.1488	4	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	2	1	4	0	5	0	0	0	1
AB193924.1.1441	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GU940734.1.1314	1	2	6	3	0	0	0	6	0	2	0	0	0	2	1	0	0	0	0	0	0	0	0	3	0	1	0
HQ672575.1.1509	0	2	0	0	0	0	0	0	0	0	7	1	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0
HQ163636.1.1351	0	1	0	0	0	0	1	0	7	0	4	1	0	0	0	0	1	0	0	2	0	0	0	0	1	0	0
HQ672035.1.1484	0	4	0	1	0	2	1	1	1	1	0	1	1	1	0	1	1	3	2	1	4	0	3	6	13	0	1
GQ349276.1.1427	0	0	0	0	2	2	1	2	1	3	1	1	0	2	1	1	0	1	0	0	0	0	1	0	0	0	0
JN833084.1.1427	0	1	0	2	2	2	0	0	2	0	0	1	0	2	0	1	1	2	1	1	1	1	0	0	0	0	0
FR683839.1.1424	0	1	0	1	1	0	0	0	0	1	0	1	0	1	2	0	0	0	0	0	0	1	0	5	13	1	0
HQ672464.1.1524	0	0	0	0	1	1	2	1	0	2	0	1	2	2	2	1	0	1	0	1	2	1	2	0	0	0	0
EU804822.1.1449	0	0	4	1	0	0	0	0	0	1	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0
AY726939.1.1205	0	0	0	0	0	0	0	0	0	1	14	0	0	0	1	0	1	0	0	0	1	0	0	1	0	0	1
EF199931.1.1473	0	0	0	0	0	0	11	1	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	7	0
JX945343.1.1362	0	3	1	0	0	0	1	2	1	0	0	0	0	0	0	0	3	0	0	0	0	3	2	0	0	0	1
JX047105.1.1421	1	1	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	3	4	0	2	0	0	0
HQ674196.1.1512	0	0	0	1	0	3	0	0	2	1	2	3	2	1	0	2	1	0	1	2	3	13	0	0	0	0	3
HQ529815.1.961	3	0	1	2	0	3	1	2	5	2	0	2	6	1	4	0	2	0	1	2	1	1	3	0	0	0	0
HQ673917.1.1512	0	0	0	0	0	0	0	0	0	0	12	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EU799065.1.1454	1	2	0	1	0	0	0	2	1	3	0	0	0	0	2	0	1	0	1	0	0	0	2	1	0	2	0
HQ671796.1.1476	0	1	0	0	0	0	0	0	0	1	0	0	3	0	0	1	1	1	1	3	0	0	0	0	0	1	0
HQ673249.1.1460	1	0	0	0	0	1	2	0	0	0	4	1	1	0	0	1	0	0	0	2	0	0	0	0	0	0	1
GU235779.1.1377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	26	0	0
GU584161.1.1499	0	0	0	0	1	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
JN166296.1.1463	1	0	0	0	1	4	2	0	1	0	1	0	1	0	0	0	0	1	0	2	4	1	3	0	0	0	1
EU237278.1.1306	0	0	3	2	1	0	0	1	0	0	0	0	2	0	1	1	0	2	0	0	1	0	0	0	0	2	0
GU451626.1.1246	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AM183347.1.1476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0
HQ673618.1.1427	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
FO117592.36865.38380	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	7	0
HE589838.1.1411	0	4	0	0	0	2	7	0	4	0	10	1	0	0	0	2	0	1	0	5	2	7	0	0	0	0	1
AY869690.1.914	3	0	0	1	0	0	1	0	2	0	0	1	0	0	3	0	5	7	2	1	4	3	0	0	0	0	0
HQ672362.1.1464	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	2	2	0	0	0	0
HQ672090.1.1464	0	2	0	1	1	4	3	0	4	1	0	1	2	2	2	2	2	3	0	3	10	1	0	0	0	0	6
FJ744840.1.1292	1	3	1	0	0	0	2	1	0	2	0	0	0	1	0	0	0	3	1	3	0	0	0	0	0	2	0
DQ396361.1.1525	0	0	0	0	0	0	0	0	0	0	8	0	1	0	0	0	1	0	0	2	0	1	0	0	0	0	0
HQ672634.1.1523	0	0	0	1	1	0	1	1	2	0	2	6	7	4	0	0	3	5	1	1	3	0	1	0	0	0	2
AACY020016122.205.1491	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0
JQ347443.1.1350	1	7	0	1	0	0	0	0	0	0	0	1	0	1	0	2	1	3	0	1	2	2	1	0	0	2	0
FJ745074.1.1297	1	1	4	1	0	0	0	0	0	0	0	0	0	1	0	1	1	3	0	1	0	1	0	0	0	3	0
AY258118.1.1416	0	0	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
FR683940.1.1495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	23	0	0
