	TARA_100_DCM_0.22_3.0	TARA_102_DCM_0.22_3.0	TARA_109_DCM_0.22_3.0	TARA_110_DCM_0.22_3.0	TARA_111_DCM_0.22_3.0	TARA_112_DCM_0.22_3.0	TARA_122_DCM_0.22_3.0	TARA_128_DCM_0.22_3.0	TARA_132_DCM_0.22_3.0	TARA_133_DCM_0.22_3.0	TARA_137_DCM_0.22_3.0	TARA_138_DCM_0.22_3.0	TARA_142_DCM_0.22_3.0	TARA_150_DCM_0.22_3.0	TARA_151_DCM_0.22_3.0	TARA_058_DCM_0.22_3.0	TARA_064_DCM_0.22_3.0	TARA_065_DCM_0.22_3.0	TARA_066_DCM_0.22_3.0	TARA_068_DCM_0.22_3.0	TARA_072_DCM_0.22_3.0	TARA_076_DCM_0.22_3.0	TARA_078_DCM_0.22_3.0	TARA_082_DCM_0.22_3.0	TARA_085_DCM_0.22_3.0	TARA_093_DCM_0.22_3.0	TARA_098_DCM_0.22_3.0
JX945349.1.1357	20	39	20	27	28	27	23	23	15	14	1	26	17	20	30	29	29	41	41	17	30	11	16	4	2	11	16
HQ216327.1.1233	12	39	36	25	14	8	10	22	12	77	2	18	25	29	23	18	17	26	37	15	14	10	23	22	31	27	19
HQ163443.1.1344	20	36	32	35	15	5	5	13	19	72	3	24	8	19	39	24	12	19	40	16	10	7	34	36	43	39	9
EU804641.1.1462	41	3	13	31	50	55	29	33	52	0	0	61	80	63	25	27	77	77	45	54	111	27	64	0	0	1	48
EU800727.1.1251	18	39	28	18	20	9	12	24	21	42	0	18	22	18	23	19	20	17	21	12	15	7	18	32	33	23	12
EU795287.4965.6516	0	0	0	0	0	0	0	0	0	0	490	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
EF572791.1.1441	37	4	22	16	32	26	21	26	12	5	1	20	33	20	21	66	35	27	19	7	29	18	24	0	0	2	21
EU803117.1.1251	26	10	9	16	36	30	27	20	27	5	16	20	29	23	13	18	34	29	16	20	36	15	26	0	0	1	30
FJ745080.1.1326	19	45	33	31	24	12	11	24	12	39	0	27	17	16	25	32	17	38	41	20	8	15	21	7	0	38	8
GU941067.1.1343	20	29	29	25	26	22	25	25	6	9	0	14	22	27	28	35	23	43	13	9	27	21	24	1	0	7	25
